lastname,firstname,Ccode,Word Count,year,quarter,distrust,task,bace,igb,sc,cc,power,name
Castro,Fidel,40,10025,1976,3,0.234972678,0.659846547,0.329032258,0.2760181,0.48,0.615384615,0.278145695,Fidel Castro
Castro,Fidel,40,12687,1976,4,0.28125,0.707317073,0.334862385,0.215547703,0.525,0.543859649,0.297560976,Fidel Castro
Castro,Fidel,40,4258,1977,1,0.208955224,0.51396648,0.314285714,0.162790698,0.285714286,0.566371681,0.31884058,Fidel Castro
Castro,Fidel,40,20878,1977,2,0.131086142,0.749244713,0.348258706,0.093922652,0.393700787,0.622057001,0.209973753,Fidel Castro
Castro,Fidel,40,36867,1977,3,0.153696498,0.745922747,0.431279621,0.130054645,0.39375,0.595476294,0.211895911,Fidel Castro
Castro,Fidel,40,20440,1977,4,0.274559194,0.622905028,0.423149905,0.160714286,0.38372093,0.608414239,0.240704501,Fidel Castro
Castro,Fidel,40,22781,1978,1,0.278450363,0.689051095,0.373737374,0.1724846,0.491525424,0.632175762,0.248691099,Fidel Castro
Castro,Fidel,40,10358,1978,2,0.386004515,0.463483146,0.248062016,0.238866397,0.3,0.508704062,0.286821705,Fidel Castro
Castro,Fidel,40,19842,1978,3,0.185303514,0.763793103,0.314533623,0.129979036,0.456375839,0.555793991,0.217687075,Fidel Castro
Castro,Fidel,40,22350,1978,4,0.214899713,0.760180995,0.425320057,0.14600551,0.471698113,0.611300204,0.221068249,Fidel Castro
Castro,Fidel,40,16579,1979,1,0.292397661,0.624229979,0.325183374,0.205702648,0.456,0.602103418,0.269326683,Fidel Castro
Castro,Fidel,40,23577,1979,3,0.283606557,0.566332219,0.329090909,0.145802651,0.440677966,0.547526042,0.246240602,Fidel Castro
Castro,Fidel,40,22782,1979,4,0.176276771,0.723112128,0.385224274,0.116033755,0.5,0.575780089,0.286096257,Fidel Castro
Castro,Fidel,40,13437,1980,1,0.225694444,0.782945736,0.368811881,0.129107981,0.494382022,0.657282742,0.30104712,Fidel Castro
Castro,Fidel,40,18233,1980,2,0.350140056,0.625218914,0.380743982,0.169981917,0.481481481,0.593253968,0.262693157,Fidel Castro
Castro,Fidel,40,35562,1980,3,0.238773275,0.642482517,0.30834341,0.159509202,0.432432432,0.603896104,0.221383648,Fidel Castro
Castro,Fidel,40,69942,1980,4,0.228733459,0.784670232,0.33592881,0.159395973,0.582781457,0.583900227,0.256616801,Fidel Castro
Castro,Fidel,40,25526,1981,1,0.346391753,0.634065934,0.360175695,0.181034483,0.547008547,0.572181938,0.283536585,Fidel Castro
Castro,Fidel,40,29818,1981,2,0.355279503,0.612844037,0.370497427,0.19025522,0.351351351,0.596302922,0.354561102,Fidel Castro
Castro,Fidel,40,39573,1981,3,0.270419426,0.770953757,0.359106529,0.153502235,0.474452555,0.592573222,0.261484099,Fidel Castro
Castro,Fidel,40,15763,1981,4,0.324324324,0.614564831,0.396067416,0.168865435,0.4,0.593082401,0.260233918,Fidel Castro
Castro,Fidel,40,20559,1982,1,0.287815126,0.674382716,0.328690808,0.160493827,0.532258065,0.598509934,0.24127907,Fidel Castro
Castro,Fidel,40,43571,1982,2,0.195375723,0.676445935,0.341605839,0.099910794,0.399293286,0.631275441,0.234802432,Fidel Castro
Castro,Fidel,40,9595,1982,3,0.072916667,0.775362319,0.358139535,0.113513514,0.5,0.631118881,0.185365854,Fidel Castro
Castro,Fidel,40,31303,1982,4,0.244094488,0.674528302,0.359649123,0.122340426,0.565714286,0.606434316,0.268072289,Fidel Castro
Castro,Fidel,40,10735,1983,1,0.164739884,0.5839599,0.285714286,0.170854271,0.303030303,0.552315609,0.263888889,Fidel Castro
Castro,Fidel,40,8919,1983,2,0.276923077,0.715254237,0.383419689,0.102803738,0.456521739,0.611806798,0.223463687,Fidel Castro
Castro,Fidel,40,24414,1983,3,0.297560976,0.645200486,0.413162706,0.178678679,0.440559441,0.613636364,0.313909774,Fidel Castro
Castro,Fidel,40,6883,1983,4,0.311965812,0.543589744,0.279069767,0.12244898,,0.57925072,0.255813953,Fidel Castro
Castro,Fidel,40,15583,1984,1,0.316455696,0.626865672,0.326388889,0.157598499,0.328358209,0.608360836,0.292682927,Fidel Castro
Castro,Fidel,40,29766,1984,2,0.315217391,0.725344645,0.357710652,0.117816092,0.552631579,0.599175683,0.248756219,Fidel Castro
Castro,Fidel,40,12379,1984,3,0.248868778,0.756264237,0.362934363,0.179153094,0.47826087,0.523076923,0.3046875,Fidel Castro
Castro,Fidel,40,79553,1984,4,0.172005571,0.71659919,0.370506536,0.120776699,0.481666667,0.611713253,0.241119933,Fidel Castro
Castro,Fidel,40,36370,1985,1,0.174382716,0.668257757,0.354941552,0.121983914,0.406619385,0.654275093,0.24726477,Fidel Castro
Castro,Fidel,40,30901,1985,2,0.124633431,0.680952381,0.371700106,0.111111111,0.405498282,0.665703276,0.230936819,Fidel Castro
Castro,Fidel,40,51155,1985,3,0.189380531,0.698290127,0.366207397,0.132873167,0.469273743,0.616463985,0.237638376,Fidel Castro
Castro,Fidel,40,32864,1985,4,0.133086876,0.637694419,0.367567568,0.133697135,0.517333333,0.668113845,0.24916574,Fidel Castro
Castro,Fidel,40,45717,1986,4,0.195652174,0.78314746,0.387096774,0.103392569,0.473300971,0.605633803,0.225114855,Fidel Castro
Castro,Fidel,40,48232,1987,1,0.163875598,0.759975445,0.396016403,0.103667137,0.487684729,0.642563681,0.220525351,Fidel Castro
Castro,Fidel,40,67413,1987,2,0.282803586,0.695435685,0.348940914,0.114076051,0.407514451,0.618236242,0.206639954,Fidel Castro
Castro,Fidel,40,55717,1987,3,0.23433584,0.741904302,0.37599094,0.13130129,0.407129456,0.624476361,0.227745665,Fidel Castro
Castro,Fidel,40,27098,1987,4,0.192893401,0.70295203,0.417448405,0.112953368,0.445182724,0.63681592,0.250241546,Fidel Castro
Castro,Fidel,40,24811,1988,1,0.195439739,0.647590361,0.404975124,0.11627907,0.530612245,0.615242778,0.206790123,Fidel Castro
Castro,Fidel,40,28657,1988,2,0.198757764,0.73015873,0.412459721,0.119798235,0.525806452,0.660971703,0.225842697,Fidel Castro
Castro,Fidel,40,44136,1988,3,0.139044944,0.686174104,0.387902696,0.127180233,0.514285714,0.619958275,0.215994532,Fidel Castro
Castro,Fidel,40,59791,1988,4,0.250300842,0.709237759,0.375061607,0.129856307,0.460465116,0.617609089,0.229092752,Fidel Castro
Castro,Fidel,40,77207,1989,1,0.233120114,0.670096022,0.387206823,0.135585586,0.529487179,0.611256281,0.240089087,Fidel Castro
Castro,Fidel,40,43079,1989,2,0.101995565,0.714648066,0.404197698,0.113402062,0.451730419,0.634367903,0.220267417,Fidel Castro
Castro,Fidel,40,65323,1989,3,0.222120658,0.683260127,0.364766839,0.121212121,0.461325967,0.584490187,0.244291025,Fidel Castro
Castro,Fidel,40,82531,1989,4,0.212147887,0.749478079,0.408290536,0.119856173,0.427688504,0.635588508,0.235159817,Fidel Castro
Castro,Fidel,40,70413,1990,1,0.183108588,0.636408978,0.381539611,0.109438568,0.415742794,0.641571872,0.22755418,Fidel Castro
Castro,Fidel,40,21858,1990,2,0.196930946,0.591630592,0.404682274,0.140060241,0.44600939,0.60989355,0.187935035,Fidel Castro
Castro,Fidel,40,48121,1990,3,0.197228145,0.742637644,0.420054201,0.086926287,0.504155125,0.62691539,0.225648213,Fidel Castro
Castro,Fidel,40,52918,1990,4,0.153846154,0.736741214,0.40990991,0.09971831,0.408163265,0.650014112,0.234554974,Fidel Castro
Castro,Fidel,40,50736,1991,1,0.149933066,0.707662589,0.387061404,0.12244898,0.462992126,0.643969466,0.210857143,Fidel Castro
Castro,Fidel,40,24369,1991,2,0.27480916,0.65576324,0.355297158,0.133247089,0.432432432,0.596899225,0.243206522,Fidel Castro
Castro,Fidel,40,49469,1992,1,0.191193511,0.600666667,0.362871565,0.100714286,0.503846154,0.628332462,0.218424102,Fidel Castro
Castro,Fidel,40,53857,1992,2,0.182248521,0.664174455,0.400977995,0.117350612,0.463601533,0.62626788,0.200127065,Fidel Castro
Castro,Fidel,40,20366,1992,3,0.169329073,0.707213579,0.380952381,0.12305296,0.414746544,0.602446483,0.253602305,Fidel Castro
Castro,Fidel,40,54807,1992,4,0.151358344,0.637681159,0.406769596,0.141496599,0.5,0.626111983,0.250931677,Fidel Castro
Castro,Fidel,40,50710,1993,1,0.174273859,0.680835735,0.371767994,0.171761281,0.46778043,0.645143488,0.284676834,Fidel Castro
Castro,Fidel,40,6732,1993,3,0.11627907,0.683229814,0.376146789,0.095744681,0.441860465,0.629166667,0.229665072,Fidel Castro
Castro,Fidel,40,42061,1993,4,0.181402439,0.64957265,0.381361533,0.170287316,0.430641822,0.608695652,0.263086336,Fidel Castro
Ceausescu,Nicolae,360,4432,1972,1,0.069518717,0.504237288,0.333333333,0.097560976,0.545454545,0.498181818,0.315789474,Nicolae Ceausescu
Ceausescu,Nicolae,360,4642,1974,2,0.056994819,0.537102473,0.412280702,0.212121212,0.379310345,0.473856209,0.351351351,Nicolae Ceausescu
Chavez,Hugo,101,5165,2003,3,0.101190476,0.565217391,0.43258427,0.167785235,0.361445783,0.590106007,0.215909091,Hugo Chavez
Chavez,Hugo,101,6198,2005,3,0.314285714,0.426900585,0.330645161,0.121212121,0.314465409,0.629969419,0.227467811,Hugo Chavez
Chavez,Hugo,101,6597,2005,4,0.195121951,0.441747573,0.396039604,0.131221719,0.330578512,0.558404558,0.211469534,Hugo Chavez
Chavez,Hugo,101,4365,2006,3,0.36416185,0.248062016,0.356643357,0.139240506,0.297029703,0.582644628,0.2,Hugo Chavez
Chavez,Hugo,101,7118,2007,1,0.295180723,0.560185185,0.341954023,0.107438017,0.322344322,0.564270153,0.170087977,Hugo Chavez
Ciller,Tansu,640,5403,1995,2,0.173469388,0.583783784,0.394594595,0.181372549,0.283018868,0.588996764,0.394444444,Tansu Ciller
Desai ,Morarji,750,5216,1977,3,0.142857143,0.64171123,0.401273885,0.110169492,0.426829268,0.592286501,0.254901961,Morarji Desai 
Desai ,Morarji,750,6933,1978,2,0.102564103,0.75210084,0.43,0.119565217,0.576923077,0.597560976,0.32,Morarji Desai 
Desai ,Morarji,750,7409,1978,3,0.173076923,0.647058824,0.422535211,0.132743363,0.432432432,0.621212121,0.278846154,Morarji Desai 
Estrada,Joseph,840,5456,1999,3,0.152173913,0.568627451,0.365979381,0.107981221,0.177777778,0.608856089,0.310880829,Joseph Estrada
Estrada,Joseph,840,6209,2000,3,0.32,0.6,0.379310345,0.117647059,0.197674419,0.596721311,0.292397661,Joseph Estrada
