lastname,firstname,Ccode,Word Count,year,month,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
al-Assad,Bashar,652,9694,2012,6,0.411764706,0.169934641,0.137254902,0.588235294,0.62745098,0.450980392,0.098039216,0.156862745,0.137254902,0,0.156862745,0.176470588,0.103199174,0.077510568,0.136363636,0.989430377,Bashar al-Assad
al-Assad,Bashar,652,10449,2005,11,0.290322581,0.150537634,0.152133195,0.709677419,0.580645161,0.435483871,0.032258065,0.177419355,0.241935484,0,0.112903226,0.183006536,0.092592593,0.096629501,0.168478261,0.98372003,Bashar al-Assad
al-Assad,Bashar,652,10626,2010,5,0.545454545,0.171717172,0.392837466,0.454545455,0.333333333,0.681818182,0.015151515,0.075757576,0.121212121,0.015151515,0.090909091,0.244094488,0.069553806,0.133870668,0.20625,0.972389175,Bashar al-Assad
al-Assad,Bashar,652,11706,2011,1,0.386666667,0.115555556,0.205973333,0.613333333,0.746666667,0.506666667,0.013333333,0.173333333,0.106666667,0,0.2,0.405204461,0.173482032,0.19861804,0.218023256,0.956696648,Bashar al-Assad
Andropov,Yurii,365,5248,1983,3,0.081081081,0.009009009,0.097151205,0.918918919,0.378378378,0.378378378,0.081081081,0.081081081,0.27027027,0.081081081,0.108108108,0.261538462,0.115384615,0.129325444,0.221556886,0.971347057,Yurii Andropov
Aquino,Corazon,840,4062,1991,7,0.071428571,-0.035714286,0.103061224,0.928571429,1,0.321428571,0,0.214285714,0.142857143,0.035714286,0.285714286,0.032786885,-0.005464481,0.077183553,0.186666667,0.985592403,Corazon Aquino
Aquino,Corazon,840,4115,1988,7,0.384615385,0.239316239,0.165285996,0.615384615,0.666666667,0.435897436,0,0.256410256,0.205128205,0.025641026,0.076923077,0.302325581,0.124031008,0.129042726,0.312,0.95973867,Corazon Aquino
Aquino,Corazon,840,6298,1990,7,0.523809524,0.273809524,0.136054422,0.476190476,0.833333333,0.416666667,0.083333333,0.261904762,0.083333333,0,0.154761905,0.470588235,0.286764706,0.1691609,0.381818182,0.935411293,Corazon Aquino
Arroyo,Gloria,840,4103,2002,7,0.435897436,0.213675214,0.149506903,0.564102564,0.820512821,0.435897436,0.025641026,0.256410256,0.102564103,0.025641026,0.153846154,0.037974684,-0.097046414,0.146675212,0.330508475,0.951522599,Gloria Arroyo
Arroyo,Gloria,840,4994,2001,7,0.545454545,0.272727273,0.095041322,0.454545455,0.545454545,0.386363636,0.204545455,0.181818182,0.022727273,0.113636364,0.090909091,0.294117647,0.133986928,0.089504037,0.301369863,0.973026181,Gloria Arroyo
