lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Bush,GeorgeW,2,20669,2003,1,0.536480687,0.204577969,0.2071322,0.463519313,0.497854077,0.540772532,0.094420601,0.13304721,0.064377682,0.051502146,0.115879828,0.158150852,0.0486618,0.070460156,0.220853081,0.984438658,GeorgeW Bush
Bush,GeorgeW,2,18504,2003,2,0.703056769,0.337700146,0.275162564,0.296943231,0.541484716,0.585152838,0.065502183,0.200873362,0.061135371,0.017467249,0.069868996,0.478390462,0.211624441,0.149165003,0.254444444,0.962045794,GeorgeW Bush
Bush,GeorgeW,2,23401,2003,3,0.517509728,0.188067445,0.219924601,0.482490272,0.59922179,0.544747082,0.054474708,0.159533074,0.054474708,0.046692607,0.140077821,0.378984652,0.14403778,0.125917852,0.232789855,0.970687602,GeorgeW Bush
Bush,GeorgeW,2,18778,2003,4,0.698795181,0.263052209,0.346000871,0.301204819,0.530120482,0.644578313,0.060240964,0.144578313,0.012048193,0.018072289,0.120481928,0.31152648,0.108515057,0.111136344,0.205445545,0.977167533,GeorgeW Bush
Bush,GeorgeW,2,217866,2004,1,0.511143063,0.180086269,0.263792864,0.488856937,0.51976995,0.58411215,0.039539899,0.131919482,0.098130841,0.018332135,0.127965492,0.413758048,0.198181407,0.129780037,0.320359281,0.958423761,GeorgeW Bush
Bush,GeorgeW,2,344265,2004,2,0.560118753,0.21812634,0.262665956,0.439881247,0.507669471,0.584858981,0.05220188,0.142998516,0.086838199,0.022266205,0.11083622,0.431012922,0.201715993,0.135006379,0.296377768,0.959987111,GeorgeW Bush
Bush,GeorgeW,2,535406,2004,3,0.60296846,0.2710147,0.228190383,0.39703154,0.540031397,0.552447552,0.069359212,0.179677465,0.070215499,0.037962038,0.090338233,0.439347886,0.227433914,0.129078168,0.326164875,0.957899235,GeorgeW Bush
Bush,GeorgeW,2,24543,2004,4,0.727659574,0.374468085,0.298230874,0.272340426,0.527659574,0.595744681,0.046808511,0.221276596,0.085106383,0.008510638,0.042553191,0.49682338,0.241423126,0.158915606,0.229941292,0.96345874,GeorgeW Bush
Bush,GeorgeW,2,286940,2005,1,0.703384207,0.286551648,0.382971041,0.296615793,0.389515594,0.676841407,0.045454545,0.129396151,0.065693431,0.01725282,0.065361646,0.569086056,0.281216898,0.182520177,0.2769966,0.949442532,GeorgeW Bush
Bush,GeorgeW,2,292973,2005,2,0.69254467,0.274183611,0.373834083,0.30745533,0.444855206,0.668823167,0.040357363,0.137091805,0.054528651,0.013863216,0.085335798,0.562024073,0.286211414,0.169922128,0.285036881,0.951565927,GeorgeW Bush
Bush,GeorgeW,2,162525,2005,3,0.615028307,0.241036198,0.297050446,0.384971693,0.484817293,0.613484303,0.051466804,0.142563047,0.063818837,0.02882141,0.0998456,0.479289941,0.224716044,0.145067855,0.283898305,0.958815482,GeorgeW Bush
Bush,GeorgeW,2,191810,2005,4,0.503593675,0.181600383,0.245626186,0.496406325,0.574988021,0.566363201,0.032103498,0.153330139,0.084810733,0.029228558,0.134163872,0.394297284,0.17439964,0.131477382,0.260419266,0.965760757,GeorgeW Bush
Bush,GeorgeW,2,341172,2006,1,0.614321962,0.244995771,0.28897695,0.385678038,0.504087962,0.605864111,0.051592895,0.149703975,0.06484353,0.025655484,0.102340006,0.415038857,0.192081495,0.134769096,0.271405616,0.963422911,GeorgeW Bush
Bush,GeorgeW,2,323041,2006,2,0.6362064,0.243970405,0.3386062,0.3637936,0.426059383,0.64658403,0.045257999,0.12626117,0.066589795,0.028538484,0.086768521,0.49554764,0.243729593,0.155765598,0.278567413,0.95660878,GeorgeW Bush
Bush,GeorgeW,2,217172,2006,3,0.530794165,0.201647758,0.240224304,0.469205835,0.52917342,0.566450567,0.052269044,0.146677472,0.081037277,0.035656402,0.117909238,0.352448545,0.144830849,0.12122641,0.259434458,0.968549692,GeorgeW Bush
Bush,GeorgeW,2,261906,2006,4,0.498076923,0.166880342,0.255213264,0.501923077,0.499358974,0.581089744,0.041025641,0.126923077,0.081410256,0.046794872,0.12275641,0.362446483,0.161834862,0.123648788,0.27622842,0.965844691,GeorgeW Bush
Bush,GeorgeW,2,168428,2007,1,0.707631318,0.302444665,0.353715863,0.292368682,0.472745292,0.651635282,0.040634291,0.161546085,0.056987116,0.014370664,0.074826561,0.493447993,0.249249249,0.152770316,0.292379021,0.955333165,GeorgeW Bush
Bush,GeorgeW,2,218246,2007,2,0.660072669,0.252994213,0.379697105,0.339927331,0.406943884,0.674202665,0.035526847,0.120306823,0.075898264,0.010900283,0.083165119,0.398900609,0.1693161,0.142100969,0.269005213,0.961774099,GeorgeW Bush
Bush,GeorgeW,2,157672,2007,3,0.583480826,0.236971485,0.298046623,0.416519174,0.476696165,0.61120944,0.034218289,0.146312684,0.100884956,0.015339233,0.092035398,0.403463203,0.185569986,0.142109968,0.268408551,0.961856469,GeorgeW Bush
Bush,GeorgeW,2,143294,2007,4,0.700451904,0.28254788,0.401827706,0.299548096,0.366688186,0.689477082,0.039380245,0.121368625,0.076823757,0.010974822,0.061975468,0.472065144,0.241423509,0.13842143,0.259463987,0.964084624,GeorgeW Bush
Bush,GeorgeW,2,43999,2008,1,0.705357143,0.311011905,0.323182398,0.294642857,0.477678571,0.629464286,0.055803571,0.167410714,0.055803571,0.020089286,0.071428571,0.526137135,0.271328355,0.152691972,0.233211869,0.96439042,GeorgeW Bush
Bush,GeorgeW,2,42879,2008,2,0.717647059,0.285490196,0.404906298,0.282352941,0.305882353,0.694117647,0.065882353,0.098823529,0.070588235,0.016470588,0.054117647,0.508220157,0.246366452,0.155319868,0.233004386,0.96380979,GeorgeW Bush
Bush,GeorgeW,2,17951,2008,3,0.604651163,0.23255814,0.329259059,0.395348837,0.372093023,0.639534884,0.058139535,0.104651163,0.104651163,0.011627907,0.081395349,0.504393673,0.277680141,0.155784668,0.232118758,0.963839456,GeorgeW Bush
