lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Eisenhower,Dwight,2,171914,1953,0.59556314,0.259954494,0.279350371,0.40443686,0.4778157,0.59556314,0.042662116,0.159556314,0.104095563,0.018771331,0.079351536,0.478283759,0.220145652,0.17043724,0.235767451,0.959816446,Dwight Eisenhower
Eisenhower,Dwight,2,231044,1954,0.584975369,0.246510673,0.28560448,0.415024631,0.474137931,0.601600985,0.037561576,0.153325123,0.101600985,0.022167488,0.083743842,0.449809886,0.205576679,0.15995177,0.235909355,0.962265881,Dwight Eisenhower
Eisenhower,Dwight,2,125101,1955,0.6326062,0.292001531,0.29475259,0.3673938,0.482204363,0.603903559,0.03673938,0.175660161,0.104477612,0.013777268,0.065442021,0.501639344,0.234972678,0.183099087,0.240873894,0.95589621,Dwight Eisenhower
Eisenhower,Dwight,2,187786,1956,0.561389961,0.242471042,0.239752299,0.438610039,0.523552124,0.562934363,0.051737452,0.166023166,0.097297297,0.026254826,0.095752896,0.468168462,0.215393405,0.157256046,0.240751069,0.962140439,Dwight Eisenhower
Eisenhower,Dwight,2,158558,1957,0.529307282,0.207815275,0.254197098,0.470692718,0.573712256,0.571936057,0.023978686,0.168738899,0.086145648,0.031083481,0.118117229,0.404081633,0.171247166,0.149391931,0.234534472,0.964962442,Dwight Eisenhower
Eisenhower,Dwight,2,147282,1958,0.523124358,0.220280918,0.250549629,0.476875642,0.526207605,0.568345324,0.030832477,0.162384378,0.121274409,0.016443988,0.100719424,0.408389883,0.183939955,0.141492312,0.23084223,0.967337599,Dwight Eisenhower
Eisenhower,Dwight,2,182409,1959,0.644341801,0.28021555,0.315030393,0.355658199,0.48960739,0.622016936,0.031562741,0.168591224,0.081601232,0.020015396,0.076212471,0.491041288,0.21855795,0.188963117,0.25223301,0.952337264,Dwight Eisenhower
Eisenhower,Dwight,2,206217,1960,0.596848326,0.262639527,0.269968343,0.403151674,0.564674984,0.581746553,0.034143139,0.182534471,0.093237032,0.008535785,0.09980302,0.484198895,0.241473297,0.155972196,0.251818783,0.960723271,Dwight Eisenhower
Eisenhower,Dwight,2,11231,1961,0.346938776,0.210884354,0.124364848,0.653061224,0.775510204,0.387755102,0.020408163,0.265306122,0.183673469,0.020408163,0.12244898,0.524390244,0.31097561,0.152022606,0.129973475,0.980241094,Dwight Eisenhower
Fillmore,Millard,2,8412,1850,0.771428571,0.333333333,0.422040816,0.228571429,0.571428571,0.685714286,0,0.2,0.028571429,0,0.085714286,0.395683453,0.169064748,0.145323741,0.111821086,0.983749741,Millard Fillmore
Fillmore,Millard,2,13605,1851,0.722222222,0.277777778,0.427777778,0.277777778,0.555555556,0.694444444,0,0.166666667,0.027777778,0,0.111111111,0.383592018,0.201034738,0.134234345,0.073921971,0.990077133,Millard Fillmore
Fillmore,Millard,2,10079,1852,0.909090909,0.363636364,0.628099174,0.090909091,0.363636364,0.818181818,0,0.136363636,0,0,0.045454545,0.47826087,0.226708075,0.164615563,0.063953488,0.989472261,Millard Fillmore
Ford,Gerald,2,55592,1974,0.552238806,0.221116639,0.258863229,0.447761194,0.457711443,0.583747927,0.058043118,0.134328358,0.102819237,0.026533997,0.094527363,0.46581876,0.227609963,0.148198999,0.324019344,0.951980658,Gerald Ford
Ford,Gerald,2,164045,1975,0.544868035,0.232062561,0.261932457,0.455131965,0.475073314,0.581231672,0.039296188,0.151906158,0.121407625,0.020527859,0.085630499,0.428786359,0.20661986,0.134389377,0.299490602,0.959751645,Gerald Ford
Ford,Gerald,2,120896,1976,0.537784299,0.242112986,0.221223306,0.462215701,0.463683052,0.548789435,0.064563463,0.155539252,0.120322817,0.034482759,0.076302274,0.473000684,0.227386648,0.151989867,0.317789695,0.951699187,Gerald Ford
Ford,Gerald,2,5630,1977,0.632653061,0.319727891,0.247313619,0.367346939,0.612244898,0.551020408,0.040816327,0.224489796,0.102040816,0,0.081632653,0.358024691,0.172839506,0.118609968,0.232227488,0.972455505,Gerald Ford
Grant,Ulysses,2,8997,1869,0.857142857,0.373015873,0.56462585,0.142857143,0.238095238,0.785714286,0.023809524,0.119047619,0.071428571,0,0,0.452830189,0.235849057,0.159677228,0.116666667,0.98137099,Ulysses Grant
Grant,Ulysses,2,8933,1870,0.461538462,0.282051282,0.169230769,0.538461538,0.538461538,0.461538462,0.038461538,0.230769231,0.192307692,0.038461538,0.038461538,0.469964664,0.228504122,0.149306397,0.084142395,0.987437002,Ulysses Grant
Grant,Ulysses,2,6494,1871,1,0.479166667,0.58984375,0,0.4375,0.78125,0,0.21875,0,0,0,0.414414414,0.174174174,0.14292671,0.125984252,0.981993485,Ulysses Grant
Grant,Ulysses,2,10009,1872,0.823529412,0.333333333,0.49550173,0.176470588,0.529411765,0.735294118,0,0.176470588,0,0,0.088235294,0.482428115,0.28115016,0.133546326,0.097982709,0.986914769,Ulysses Grant
Grant,Ulysses,2,11618,1873,0.821428571,0.327380952,0.531632653,0.178571429,0.357142857,0.767857143,0.017857143,0.125,0.035714286,0,0.053571429,0.450549451,0.237179487,0.123638449,0.133333333,0.983514873,Ulysses Grant
Grant,Ulysses,2,9848,1874,0.777777778,0.37962963,0.388888889,0.222222222,0.444444444,0.666666667,0.027777778,0.194444444,0.083333333,0,0.027777778,0.5,0.278455285,0.133060678,0.098901099,0.986840153,Ulysses Grant
Grant,Ulysses,2,12449,1875,0.621621622,0.279279279,0.321548576,0.378378378,0.486486486,0.621621622,0,0.189189189,0.081081081,0.054054054,0.054054054,0.315789474,0.150877193,0.10498615,0.088729017,0.990684682,Ulysses Grant
Grant,Ulysses,2,6952,1876,0.777777778,0.259259259,0.555555556,0.222222222,0.444444444,0.777777778,0,0.111111111,0,0,0.111111111,0.489361702,0.219858156,0.180849253,0.036885246,0.993329331,Ulysses Grant
Harding,Warren,2,6874,1920,0.381818182,0.133333333,0.12568595,0.618181818,0.436363636,0.454545455,0.145454545,0.090909091,0.127272727,0.054545455,0.127272727,0.365079365,0.165784832,0.097875199,0.225409836,0.977937967,Warren Harding
Harding,Warren,2,15376,1921,0.505154639,0.250859107,0.169220959,0.494845361,0.474226804,0.494845361,0.092783505,0.164948454,0.144329897,0.030927835,0.072164948,0.39800995,0.180762852,0.121482142,0.194388778,0.976385235,Warren Harding
Harding,Warren,2,16986,1922,0.5,0.246527778,0.211458333,0.5,0.6875,0.510416667,0,0.239583333,0.114583333,0.03125,0.104166667,0.310638298,0.170212766,0.097126301,0.169611307,0.983526281,Warren Harding
Harding,Warren,2,50526,1923,0.502074689,0.232365145,0.207534306,0.497925311,0.680497925,0.514522822,0.012448133,0.22406639,0.099585062,0.033195021,0.116182573,0.380915438,0.200672356,0.114302136,0.15751634,0.981995546,Warren Harding
Harris,Benjamin,2,17663,1889,0.545454545,0.166666667,0.374655647,0.454545455,0.454545455,0.666666667,0,0.106060606,0.090909091,0.015151515,0.121212121,0.475836431,0.241016109,0.132433217,0.109271523,0.985528821,Benjamin Harris
