lastname,firstname,Ccode,Word Count,year,month,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Bush,GeorgeW,2,8448,2001,10,0.512195122,0.166666667,0.219393218,0.487804878,0.536585366,0.548780488,0.085365854,0.12195122,0.048780488,0.048780488,0.146341463,0.240506329,0.069620253,0.108315975,0.206030151,0.977683643,GeorgeW Bush
Bush,GeorgeW,2,4249,2001,11,0.666666667,0.338888889,0.226,0.333333333,0.666666667,0.516666667,0.05,0.266666667,0,0.1,0.066666667,0.589403974,0.335540839,0.172983641,0.28436019,0.950810339,GeorgeW Bush
Bush,GeorgeW,2,75754,2001,2,0.698600646,0.313598852,0.310882334,0.301399354,0.415500538,0.623250807,0.074273412,0.151776103,0.071044133,0.023681378,0.055974166,0.612286002,0.324269889,0.172257768,0.318696398,0.94510207,GeorgeW Bush
Bush,GeorgeW,2,98660,2001,3,0.683597002,0.30280322,0.311401476,0.316402998,0.517901749,0.617818485,0.04662781,0.177352206,0.0632806,0.013322231,0.081598668,0.632485644,0.337981952,0.202896442,0.330035724,0.933036926,GeorgeW Bush
Bush,GeorgeW,2,59359,2001,4,0.703703704,0.28679962,0.374232352,0.296296296,0.47008547,0.666666667,0.035612536,0.14957265,0.055555556,0.007122507,0.085470085,0.636363636,0.30765672,0.236774524,0.327578161,0.922437837,GeorgeW Bush
Bush,GeorgeW,2,64112,2001,5,0.682368775,0.276805742,0.35307047,0.317631225,0.452220727,0.65410498,0.043068641,0.144010767,0.057873486,0.01884253,0.082099596,0.591977077,0.293982808,0.200552771,0.298633441,0.940108236,GeorgeW Bush
Bush,GeorgeW,2,65420,2001,6,0.726205997,0.303780965,0.375457981,0.273794003,0.417209909,0.670143416,0.052151239,0.140808344,0.056062581,0.01303781,0.06779661,0.619625138,0.310180081,0.219042872,0.297171639,0.934906671,GeorgeW Bush
Bush,GeorgeW,2,8238,2001,7,0.705882353,0.310457516,0.346251442,0.294117647,0.568627451,0.637254902,0.019607843,0.196078431,0.049019608,0.009803922,0.088235294,0.473684211,0.20782726,0.169132423,0.29226361,0.950568747,GeorgeW Bush
Bush,GeorgeW,2,4969,2001,8,0.796610169,0.338983051,0.491870152,0.203389831,0.271186441,0.745762712,0.033898305,0.118644068,0.06779661,0.016949153,0.016949153,0.458333333,0.224537037,0.161342593,0.290640394,0.953107325,GeorgeW Bush
Bush,GeorgeW,2,82965,2002,1,0.621671258,0.241505969,0.329602562,0.378328742,0.455463728,0.638200184,0.032139578,0.140495868,0.066115702,0.035812672,0.087235996,0.45399568,0.19150468,0.162272157,0.319917744,0.948086258,GeorgeW Bush
Bush,GeorgeW,2,147298,2002,10,0.607179487,0.221025641,0.340042604,0.392820513,0.416410256,0.647692308,0.043589744,0.112307692,0.08,0.020512821,0.095897436,0.343534813,0.12751849,0.127721544,0.332141032,0.957578435,GeorgeW Bush
Bush,GeorgeW,2,97139,2002,11,0.656401945,0.272015127,0.34800953,0.343598055,0.385737439,0.652350081,0.045380875,0.130470016,0.087520259,0.021880065,0.062398703,0.420932009,0.191367456,0.133598447,0.320353063,0.957201328,GeorgeW Bush
Bush,GeorgeW,2,26215,2002,12,0.633663366,0.228547855,0.353004607,0.366336634,0.45049505,0.655940594,0.037128713,0.123762376,0.051980198,0.02970297,0.101485149,0.488431877,0.233504713,0.1542998,0.34179357,0.947261321,GeorgeW Bush
Bush,GeorgeW,2,79451,2002,2,0.694280079,0.289612097,0.331486993,0.305719921,0.481262327,0.637080868,0.054240631,0.15581854,0.046351085,0.021696252,0.084812623,0.49955397,0.251115076,0.153061216,0.311425061,0.952332901,GeorgeW Bush
Bush,GeorgeW,2,108877,2002,3,0.599722029,0.227704424,0.305348041,0.400277971,0.476719944,0.619874913,0.045865184,0.134120917,0.073662265,0.022237665,0.104239055,0.487979207,0.217348928,0.178033127,0.318574275,0.943283226,GeorgeW Bush
Bush,GeorgeW,2,90720,2002,4,0.641065831,0.258098224,0.322668802,0.358934169,0.487460815,0.630877743,0.038401254,0.151253918,0.064263323,0.022727273,0.092476489,0.501647446,0.242586491,0.169426434,0.344492441,0.941633874,GeorgeW Bush
Bush,GeorgeW,2,87568,2002,5,0.697508897,0.274021352,0.394887983,0.302491103,0.414590747,0.684163701,0.033807829,0.130782918,0.056939502,0.017793594,0.076512456,0.527515723,0.245283019,0.179588302,0.306434024,0.944968034,GeorgeW Bush
Bush,GeorgeW,2,78892,2002,6,0.679558011,0.258747698,0.375377227,0.320441989,0.418047882,0.672191529,0.043278085,0.124309392,0.049723757,0.025782689,0.084714549,0.523364486,0.251557632,0.173704254,0.336639802,0.941524235,GeorgeW Bush
Bush,GeorgeW,2,91731,2002,7,0.683121019,0.255573248,0.41933192,0.316878981,0.399681529,0.700636943,0.020700637,0.12022293,0.060509554,0.018312102,0.079617834,0.493055556,0.240097737,0.148635402,0.326403326,0.95148491,GeorgeW Bush
Bush,GeorgeW,2,115363,2002,8,0.674129353,0.237976783,0.425349929,0.325870647,0.359452736,0.707089552,0.032338308,0.097636816,0.05721393,0.023631841,0.082089552,0.509027778,0.226157407,0.182857928,0.35828877,0.934484058,GeorgeW Bush
Bush,GeorgeW,2,97983,2002,9,0.604054054,0.202477477,0.378376552,0.395945946,0.374324324,0.675675676,0.034459459,0.091891892,0.078378378,0.024324324,0.09527027,0.391871166,0.168711656,0.13833309,0.362035225,0.949918549,GeorgeW Bush
Bush,GeorgeW,2,7234,2003,1,0.217391304,0,0.116320101,0.782608696,0.724637681,0.420289855,0.057971014,0.130434783,0.086956522,0.072463768,0.231884058,0.090909091,0.012345679,0.068775295,0.18852459,0.987034166,GeorgeW Bush
Bush,GeorgeW,2,9791,2003,10,0.759036145,0.305220884,0.365945711,0.240963855,0.43373494,0.662650602,0.084337349,0.13253012,0.012048193,0.024096386,0.084337349,0.308641975,0.103909465,0.111819845,0.203931204,0.977196444,GeorgeW Bush
Bush,GeorgeW,2,5851,2003,12,0.782608696,0.326086957,0.405671078,0.217391304,0.608695652,0.673913043,0.02173913,0.195652174,0,0,0.108695652,0.366834171,0.157453936,0.127597788,0.187755102,0.976042864,GeorgeW Bush
Bush,GeorgeW,2,11566,2003,3,0.664233577,0.299270073,0.227406894,0.335766423,0.437956204,0.554744526,0.131386861,0.145985401,0.051094891,0.04379562,0.072992701,0.159737418,0.042304887,0.067621104,0.230639731,0.984403887,GeorgeW Bush
