lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Blair,Tony,200,124613,2004,0.564144737,0.229714912,0.26750184,0.435855263,0.430921053,0.590460526,0.064144737,0.127467105,0.111842105,0.018092105,0.087993421,0.331468531,0.138461538,0.120995452,0.298331698,0.963903221,Tony Blair
Blair,Tony,200,13024,2005,0.357142857,0.182539683,0.118027211,0.642857143,0.80952381,0.392857143,0.047619048,0.238095238,0.154761905,0,0.166666667,0.43373494,0.246987952,0.12652054,0.201923077,0.974452583,Tony Blair
Blair,Tony,200,6665,2006,0.6,0.314285714,0.141877551,0.4,0.571428571,0.457142857,0.142857143,0.2,0.085714286,0.028571429,0.085714286,0.409638554,0.236947791,0.087850196,0.174129353,0.984702702,Tony Blair
Brezhnev,Leonid ,365,8528,1970,0.659574468,0.34751773,0.30140335,0.340425532,0.468085106,0.595744681,0.021276596,0.212765957,0.127659574,0.021276596,0.021276596,0.39748954,0.237099024,0.113334851,0.164335664,0.981375042,Leonid  Brezhnev
Brezhnev,Leonid ,365,7142,1972,0.586206897,0.310344828,0.212366231,0.413793103,0.620689655,0.517241379,0.034482759,0.24137931,0.103448276,0.034482759,0.068965517,0.369047619,0.126984127,0.166326531,0.147208122,0.975515384,Leonid  Brezhnev
Brezhnev,Leonid ,365,9610,1974,0.355932203,0.169491525,0.119563344,0.644067797,0.644067797,0.423728814,0.06779661,0.186440678,0.169491525,0.016949153,0.13559322,0.326923077,0.147435897,0.110872781,0.220973783,0.975500022,Leonid  Brezhnev
Brezhnev,Leonid ,365,5793,1976,0.5,0.226190476,0.253061224,0.5,0.285714286,0.571428571,0.071428571,0.107142857,0.178571429,0.035714286,0.035714286,0.428571429,0.230576441,0.128271807,0.173913043,0.97769186,Leonid  Brezhnev
Buchanan,James,2,16763,1857,0.650793651,0.26984127,0.312471655,0.349206349,0.53968254,0.619047619,0.031746032,0.174603175,0.047619048,0.031746032,0.095238095,0.335952849,0.132940406,0.128507301,0.11013986,0.985846224,James Buchanan
Buchanan,James,2,16713,1858,0.688888889,0.355555556,0.254518519,0.311111111,0.755555556,0.533333333,0.022222222,0.288888889,0.022222222,0.044444444,0.088888889,0.26705653,0.07797271,0.111940996,0.080645161,0.9909725,James Buchanan
Buchanan,James,2,12734,1859,0.674418605,0.23255814,0.424986479,0.325581395,0.511627907,0.697674419,0,0.139534884,0.023255814,0.023255814,0.11627907,0.111638955,-0.019794141,0.110052415,0.092672414,0.989801177,James Buchanan
