lastname,firstname,Ccode,Word Count,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Sese Seko,Mobutu,490,4098,0.6,0.346666667,0.1744,0.4,0.56,0.48,0.08,0.24,0.12,0.04,0.04,0.325,0.1,0.161125,0.238095238,0.961636905,Mobutu Sese Seko
Sharon,Ariel,666,81937,0.579084967,0.258823529,0.216383442,0.420915033,0.501960784,0.545098039,0.081045752,0.163398693,0.087581699,0.035294118,0.087581699,0.394379845,0.200904393,0.089821638,0.270413574,0.97571101,Ariel Sharon
Singh,Charan,750,14089,0.634146341,0.296747967,0.262581797,0.365853659,0.390243902,0.585365854,0.073170732,0.158536585,0.085365854,0.06097561,0.036585366,0.472312704,0.30184582,0.103090749,0.210796915,0.978268788,Charan Singh
Tito,Josip,345,17163,0.5,0.253787879,0.178099174,0.5,0.795454545,0.465909091,0.022727273,0.261363636,0.102272727,0.011363636,0.136363636,0.179166667,0.032638889,0.086458333,0.154929577,0.986605047,Josip Tito
Ulbricht,Walter,265,6618,0.92,0.36,0.73888,0.08,0.16,0.88,0,0.08,0.04,0,0,0.276315789,0.122807018,0.11049169,0.141242938,0.984393829,Walter Ulbricht
Vajpayee,Bihary,750,52589,0.631168831,0.274458874,0.295033901,0.368831169,0.431168831,0.61038961,0.062337662,0.142857143,0.101298701,0.01038961,0.072727273,0.528348398,0.308408655,0.137032278,0.240324594,0.967067773,Bihary Vajpayee
Yabuku,Gowon ,475,4976,0.666666667,0.3,0.282666667,0.333333333,0.2,0.6,0.133333333,0.1,0.066666667,0.1,0,0.006060606,-0.107070707,0.08522314,0.153846154,0.986888748,Gowon  Yabuku
Yeltsin,Boris,365,8938,0.489361702,0.195035461,0.244092349,0.510638298,0.319148936,0.574468085,0.063829787,0.106382979,0.127659574,0.074468085,0.053191489,0.606557377,0.281420765,0.233915614,0.278106509,0.934946545,Boris Yeltsin
Zedong,Mao,710,151363,0.235436893,0.034385113,0.171825808,0.764563107,0.550970874,0.484223301,0.029126214,0.104368932,0.183252427,0.027912621,0.171116505,0.057053942,-0.03526971,0.08584267,0.176068376,0.98488582,Mao Zedong
Zhivkov,Todor,355,13230,0.553398058,0.213592233,0.258214723,0.446601942,0.504854369,0.582524272,0.048543689,0.145631068,0.077669903,0.038834951,0.106796117,0.21192053,0.073951435,0.097171177,0.254320988,0.97528733,Todor Zhivkov
