lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Asquith,Herbert,200,14070,1916,4,0.595744681,0.29787234,0.210411951,0.404255319,0.617021277,0.521276596,0.042553191,0.234042553,0.063829787,0.063829787,0.074468085,0.403225806,0.186827957,0.128134755,0.274853801,0.964781675,Herbert Asquith
Attlee,Clement,200,15829,1945,3,0.632183908,0.295019157,0.323028141,0.367816092,0.482758621,0.620689655,0.011494253,0.183908046,0.114942529,0.011494253,0.057471264,0.461538462,0.246548323,0.134694163,0.204705882,0.972427312,Clement Attlee
Attlee,Clement,200,26902,1945,4,0.542857143,0.26031746,0.236136054,0.457142857,0.60952381,0.542857143,0.019047619,0.20952381,0.123809524,0.00952381,0.095238095,0.371316306,0.186640472,0.111480965,0.171009772,0.980935666,Clement Attlee
Attlee,Clement,200,20433,1946,1,0.550724638,0.239130435,0.278890989,0.449275362,0.376811594,0.594202899,0.057971014,0.123188406,0.152173913,0.007246377,0.065217391,0.313186813,0.157509158,0.096540273,0.274900398,0.973461041,Clement Attlee
Attlee,Clement,200,15141,1946,2,0.466666667,0.233333333,0.172444444,0.533333333,0.555555556,0.488888889,0.055555556,0.188888889,0.155555556,0.022222222,0.088888889,0.372168285,0.213592233,0.120470041,0.22556391,0.972826307,Clement Attlee
Attlee,Clement,200,47646,1946,4,0.656934307,0.290754258,0.356779796,0.343065693,0.445255474,0.649635036,0.018248175,0.160583942,0.109489051,0,0.062043796,0.376257545,0.204560698,0.122929124,0.216088328,0.973436451,Clement Attlee
Attlee,Clement,200,31666,1947,1,0.51552795,0.225672878,0.24095521,0.48447205,0.50931677,0.559006211,0.037267081,0.161490683,0.136645963,0.01242236,0.093167702,0.477848101,0.249472574,0.140624499,0.203026482,0.971449503,Clement Attlee
Attlee,Clement,200,11466,1947,2,0.757575758,0.333333333,0.523966942,0.242424242,0.242424242,0.757575758,0,0.121212121,0.121212121,0,0,0.608163265,0.300680272,0.182380675,0.118705036,0.978350495,Clement Attlee
Attlee,Clement,200,27081,1947,3,0.701298701,0.305194805,0.396255692,0.298701299,0.376623377,0.681818182,0.019480519,0.149350649,0.084415584,0.025974026,0.038961039,0.476190476,0.264550265,0.13303099,0.234042553,0.968865087,Clement Attlee
Attlee,Clement,200,20875,1947,4,0.516129032,0.233870968,0.254526535,0.483870968,0.387096774,0.572580645,0.048387097,0.137096774,0.161290323,0.024193548,0.056451613,0.372151899,0.187341772,0.138245794,0.238921002,0.966970176,Clement Attlee
