lastname,firstname,Ccode,Word Count,year,month,distrust,task,bace,igb,sc,cc,power,name
Bush,GeorgeH.W.,2,74729,1992,6,0.108064516,0.515636634,0.36095932,0.140540541,0.463662791,0.611031519,0.313891502,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,66434,1992,7,0.132667618,0.555508294,0.366002028,0.144278607,0.40526849,0.615780446,0.287884018,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,80172,1992,8,0.147979798,0.530149878,0.390433483,0.15993266,0.355678907,0.584925918,0.308300395,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,149549,1992,9,0.164158687,0.533802817,0.386655261,0.1671406,0.372116349,0.576153177,0.296451669,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,12725,1993,1,0.084795322,0.463087248,0.334065934,0.234567901,0.375,0.531520396,0.258503401,GeorgeH.W. Bush
Bush,GeorgeW,2,16854,2001,1,0.088311688,0.521367521,0.355128205,0.132034632,0.295409182,0.499465241,0.22324967,GeorgeW Bush
Bush,GeorgeW,2,8448,2001,10,0.340336134,0.512578616,0.329512894,0.114624506,0.367875648,0.596078431,0.259475219,GeorgeW Bush
Bush,GeorgeW,2,4249,2001,11,0.148648649,0.639534884,0.292993631,0.068181818,0.38028169,0.573991031,0.22,GeorgeW Bush
Bush,GeorgeW,2,75754,2001,2,0.096153846,0.550810474,0.376820388,0.126599634,0.341670835,0.545180723,0.272643253,GeorgeW Bush
Bush,GeorgeW,2,98660,2001,3,0.106553277,0.54015544,0.349834202,0.1196,0.3421875,0.561712846,0.252117106,GeorgeW Bush
Bush,GeorgeW,2,59359,2001,4,0.098654709,0.509571559,0.338516746,0.123312883,0.337810611,0.561524047,0.239739943,GeorgeW Bush
Bush,GeorgeW,2,64112,2001,5,0.096333126,0.490113589,0.355752961,0.12400733,0.292965917,0.551744886,0.243661367,GeorgeW Bush
Bush,GeorgeW,2,65420,2001,6,0.073389652,0.510638298,0.360861057,0.141916168,0.318754142,0.554916793,0.222401289,GeorgeW Bush
Bush,GeorgeW,2,8238,2001,7,0.111538462,0.532577904,0.375722543,0.115384615,0.383673469,0.590909091,0.188059701,GeorgeW Bush
Bush,GeorgeW,2,4969,2001,8,0.186915888,0.629411765,0.21875,0.051094891,0.391666667,0.655518395,0.260869565,GeorgeW Bush
Bush,GeorgeW,2,82965,2002,1,0.257466529,0.470477976,0.386215865,0.166006339,0.272051996,0.566328779,0.29327049,GeorgeW Bush
Bush,GeorgeW,2,147298,2002,10,0.212765957,0.468706777,0.362120211,0.18572715,0.297103918,0.586640375,0.323839839,GeorgeW Bush
Bush,GeorgeW,2,97139,2002,11,0.195705737,0.426180365,0.326530612,0.192450037,0.299593082,0.584727416,0.319400631,GeorgeW Bush
Bush,GeorgeW,2,26215,2002,12,0.190193165,0.414479638,0.357001972,0.161417323,0.26129666,0.526742301,0.291625616,GeorgeW Bush
Bush,GeorgeW,2,79451,2002,2,0.238150289,0.459246275,0.357372263,0.179555556,0.295443165,0.551633675,0.295708407,GeorgeW Bush
Bush,GeorgeW,2,108877,2002,3,0.272575947,0.491924319,0.36909785,0.196231319,0.328217649,0.567089512,0.293841762,GeorgeW Bush
Bush,GeorgeW,2,90720,2002,4,0.265107212,0.445945946,0.355063748,0.193620178,0.29134533,0.546723044,0.282872392,GeorgeW Bush
Bush,GeorgeW,2,87568,2002,5,0.175814751,0.417616004,0.353417015,0.188139932,0.287566011,0.530475553,0.278990644,GeorgeW Bush
Bush,GeorgeW,2,78892,2002,6,0.218504966,0.45260883,0.377622378,0.197892808,0.301786577,0.568260227,0.306802145,GeorgeW Bush
Bush,GeorgeW,2,91731,2002,7,0.217569413,0.436744561,0.34915527,0.190891089,0.309975669,0.557774914,0.297128927,GeorgeW Bush
Bush,GeorgeW,2,115363,2002,8,0.251398881,0.433471455,0.372005988,0.18487395,0.292146597,0.582851788,0.312784522,GeorgeW Bush
Bush,GeorgeW,2,97983,2002,9,0.253559061,0.430369788,0.365173675,0.212496134,0.276195075,0.579348447,0.320147194,GeorgeW Bush
Bush,GeorgeW,2,7234,2003,1,0.214285714,0.519736842,0.375609756,0.15625,0.350649351,0.5,0.325123153,GeorgeW Bush
Bush,GeorgeW,2,9791,2003,10,0.193121693,0.544,0.334532374,0.18404908,0.388888889,0.568376068,0.335766423,GeorgeW Bush
Bush,GeorgeW,2,5851,2003,12,0.241830065,0.607843137,0.361904762,0.112359551,0.390243902,0.558922559,0.204878049,GeorgeW Bush
Bush,GeorgeW,2,11566,2003,3,0.180365297,0.517171717,0.397022333,0.132947977,0.448863636,0.58044164,0.29040404,GeorgeW Bush
Bush,GeorgeW,2,9542,2003,5,0.154046997,0.48024948,0.31641791,0.159836066,0.313829787,0.582627119,0.293577982,GeorgeW Bush
Bush,GeorgeW,2,6412,2003,6,0.102661597,0.564231738,0.334862385,0.151376147,0.404494382,0.554545455,0.294392523,GeorgeW Bush
Bush,GeorgeW,2,18804,2003,7,0.166201117,0.547520661,0.317434211,0.150121065,0.435897436,0.535196687,0.272575251,GeorgeW Bush
Bush,GeorgeW,2,4597,2003,9,0.136986301,0.563492063,0.348684211,0.201550388,0.328358209,0.546341463,0.320261438,GeorgeW Bush
Bush,GeorgeW,2,66379,2004,1,0.17071525,0.494871795,0.33121525,0.148760331,0.285816619,0.547856913,0.278511405,GeorgeW Bush
Bush,GeorgeW,2,17256,2004,11,0.102739726,0.590142672,0.306836248,0.163888889,0.353741497,0.559400231,0.250819672,GeorgeW Bush
Bush,GeorgeW,2,7287,2004,12,0.18128655,0.678362573,0.308,0.083333333,0.375,0.67357513,0.232653061,GeorgeW Bush
Bush,GeorgeW,2,57337,2004,2,0.268327402,0.514434453,0.367491166,0.145598941,0.329037801,0.597606838,0.295660036,GeorgeW Bush
Bush,GeorgeW,2,94150,2004,3,0.272451193,0.493158661,0.406292379,0.15184627,0.259465479,0.569690011,0.29765232,GeorgeW Bush
Bush,GeorgeW,2,103987,2004,4,0.212267658,0.488589959,0.372695449,0.16616085,0.314029364,0.59964692,0.287544484,GeorgeW Bush
Bush,GeorgeW,2,134887,2004,5,0.222833961,0.445262546,0.363316936,0.159090909,0.323260938,0.560491207,0.300233855,GeorgeW Bush
Bush,GeorgeW,2,105391,2004,6,0.186233611,0.458697552,0.345023208,0.183301708,0.331237911,0.595036063,0.289040021,GeorgeW Bush
Bush,GeorgeW,2,118820,2004,7,0.290037402,0.482275909,0.412259615,0.163067553,0.304520222,0.573718513,0.322308956,GeorgeW Bush
Bush,GeorgeW,2,181732,2004,8,0.270625328,0.480387962,0.431004519,0.153267592,0.305641937,0.59176593,0.317464058,GeorgeW Bush
Bush,GeorgeW,2,234854,2004,9,0.254486719,0.478665383,0.408245534,0.147019672,0.347694754,0.569568009,0.32270468,GeorgeW Bush
Bush,GeorgeW,2,60150,2005,1,0.141099855,0.482431899,0.346697039,0.163793103,0.304597701,0.569314079,0.238493724,GeorgeW Bush
Bush,GeorgeW,2,63589,2005,10,0.316461468,0.512003001,0.350219191,0.184325109,0.340659341,0.579422383,0.292140386,GeorgeW Bush
Bush,GeorgeW,2,75412,2005,11,0.264705882,0.485603365,0.364521592,0.167464115,0.274261603,0.542811502,0.300774527,GeorgeW Bush
Bush,GeorgeW,2,52809,2005,12,0.285101165,0.527566114,0.39304973,0.186330935,0.322489392,0.571497352,0.337378641,GeorgeW Bush
Bush,GeorgeW,2,111223,2005,2,0.146995708,0.484432038,0.324963432,0.150090416,0.342867487,0.593035909,0.251931224,GeorgeW Bush
Bush,GeorgeW,2,115567,2005,3,0.122996646,0.491206544,0.339491917,0.113690194,0.342857143,0.621710526,0.251533742,GeorgeW Bush
Bush,GeorgeW,2,90397,2005,4,0.12411032,0.514557967,0.327011318,0.129694836,0.330800179,0.613458888,0.236552375,GeorgeW Bush
Bush,GeorgeW,2,97948,2005,5,0.159414226,0.489029742,0.350059737,0.158817635,0.316793893,0.595129722,0.266422243,GeorgeW Bush
Bush,GeorgeW,2,104628,2005,6,0.163155879,0.516483516,0.373660831,0.153456998,0.321254971,0.613049096,0.259574468,GeorgeW Bush
Bush,GeorgeW,2,52865,2005,7,0.220994475,0.475424897,0.376180483,0.191690962,0.305680794,0.598509548,0.271420969,GeorgeW Bush
Bush,GeorgeW,2,49961,2005,8,0.251903114,0.471199245,0.364066194,0.174639332,0.277239709,0.604628262,0.300477897,GeorgeW Bush
Bush,GeorgeW,2,59699,2005,9,0.195426195,0.478995236,0.363678805,0.163436693,0.327983952,0.575832306,0.281783681,GeorgeW Bush
Bush,GeorgeW,2,79578,2006,1,0.210272873,0.532656514,0.382488479,0.144776119,0.32464455,0.602591222,0.291333333,GeorgeW Bush
Bush,GeorgeW,2,130791,2006,10,0.25602784,0.526028547,0.345076061,0.135369871,0.358225508,0.592186429,0.260106166,GeorgeW Bush
Bush,GeorgeW,2,95034,2006,11,0.226444724,0.48961002,0.367651043,0.161218425,0.303969549,0.606430708,0.299916921,GeorgeW Bush
Bush,GeorgeW,2,36081,2006,12,0.15848753,0.541912633,0.376404494,0.182669789,0.317647059,0.582089552,0.26461039,GeorgeW Bush
Bush,GeorgeW,2,124479,2006,2,0.216296296,0.517580578,0.360696517,0.143036781,0.321886792,0.631002088,0.283647799,GeorgeW Bush
Bush,GeorgeW,2,137115,2006,3,0.239318626,0.501875335,0.337184672,0.154648665,0.34280303,0.615925807,0.264092062,GeorgeW Bush
Bush,GeorgeW,2,106478,2006,4,0.181897302,0.518564665,0.339166872,0.136494845,0.325838103,0.622240392,0.263039681,GeorgeW Bush
Bush,GeorgeW,2,124410,2006,5,0.170975526,0.480850168,0.347660622,0.14600639,0.33416771,0.602920723,0.268497503,GeorgeW Bush
Bush,GeorgeW,2,92153,2006,6,0.149022801,0.517397078,0.363105663,0.142542895,0.288569964,0.607927156,0.273051755,GeorgeW Bush
Bush,GeorgeW,2,84340,2006,7,0.162613257,0.549353863,0.348692403,0.15426009,0.30971897,0.59335443,0.250785669,GeorgeW Bush
Bush,GeorgeW,2,60372,2006,8,0.254964766,0.497988737,0.355871886,0.140769231,0.303176131,0.562919132,0.266769866,GeorgeW Bush
Bush,GeorgeW,2,72460,2006,9,0.373397436,0.52153432,0.361230051,0.167317073,0.326164875,0.611297915,0.290577989,GeorgeW Bush
Bush,GeorgeW,2,43207,2007,1,0.213047069,0.532284319,0.366146459,0.121598639,0.337631887,0.605530474,0.249544627,GeorgeW Bush
Bush,GeorgeW,2,59102,2007,10,0.159517426,0.497802637,0.381533952,0.133432172,0.272801303,0.609834744,0.25712881,GeorgeW Bush
Bush,GeorgeW,2,45886,2007,11,0.170013387,0.48685541,0.330268741,0.158558559,0.240740741,0.586065574,0.235760634,GeorgeW Bush
Bush,GeorgeW,2,38306,2007,12,0.107814045,0.523781213,0.362224039,0.143401015,0.30125,0.640793201,0.252483444,GeorgeW Bush
Bush,GeorgeW,2,46459,2007,2,0.173688736,0.511698881,0.320614732,0.153443766,0.337030717,0.589853011,0.230810521,GeorgeW Bush
Bush,GeorgeW,2,78762,2007,3,0.12411032,0.502506266,0.344300432,0.141304348,0.307650273,0.606491416,0.257482993,GeorgeW Bush
Bush,GeorgeW,2,74129,2007,4,0.214611872,0.524458421,0.327832783,0.115246098,0.343137255,0.612370557,0.22705314,GeorgeW Bush
Bush,GeorgeW,2,75622,2007,5,0.220791168,0.517752393,0.334326136,0.157435897,0.308111793,0.589280245,0.259916887,GeorgeW Bush
Bush,GeorgeW,2,68495,2007,6,0.216923077,0.510835913,0.333333333,0.148250972,0.290723156,0.576386526,0.265822785,GeorgeW Bush
Bush,GeorgeW,2,71610,2007,7,0.263127525,0.561158433,0.339879154,0.167065868,0.394974227,0.638788969,0.262734584,GeorgeW Bush
Bush,GeorgeW,2,43986,2007,8,0.240881459,0.543743079,0.341242149,0.145113524,0.304405874,0.624242424,0.269393512,GeorgeW Bush
Bush,GeorgeW,2,42076,2007,9,0.182303585,0.531076301,0.378435518,0.140386572,0.298850575,0.616362631,0.264663805,GeorgeW Bush
Bush,GeorgeW,2,12830,2008,1,0.182692308,0.493883792,0.4,0.198473282,0.364130435,0.523664122,0.271226415,GeorgeW Bush
Bush,GeorgeW,2,24274,2008,2,0.150337838,0.572120039,0.374240583,0.195736434,0.325252525,0.620220901,0.283292978,GeorgeW Bush
Bush,GeorgeW,2,6895,2008,3,0.135802469,0.569131833,0.365461847,0.16,0.288732394,0.622905028,0.285714286,GeorgeW Bush
Bush,GeorgeW,2,27245,2008,4,0.124280783,0.62510322,0.322690992,0.133040936,0.31352459,0.571018651,0.253504673,GeorgeW Bush
Bush,GeorgeW,2,15634,2008,6,0.071942446,0.581920904,0.281007752,0.113456464,0.391459075,0.568828214,0.203592814,GeorgeW Bush
Bush,GeorgeW,2,11567,2008,7,0.165919283,0.628865979,0.330729167,0.151639344,0.40990991,0.647766323,0.316216216,GeorgeW Bush
Bush,GeorgeW,2,5821,2009,1,0.223076923,0.561085973,0.25,0.243243243,0.376237624,0.578651685,0.268656716,GeorgeW Bush
Carter,Jimmy,2,4741,1976,7,0.086956522,0.466292135,0.4,0.235,0.438596491,0.487603306,0.35,Jimmy Carter
Carter,Jimmy,2,22319,1977,1,0.07495069,0.601926164,0.320987654,0.123003195,0.472318339,0.637681159,0.245862884,Jimmy Carter
Carter,Jimmy,2,57373,1977,10,0.078965758,0.558215452,0.344,0.154273801,0.44371345,0.642613812,0.259892526,Jimmy Carter
Carter,Jimmy,2,38445,1977,11,0.063734291,0.563325563,0.299711816,0.147327249,0.492795389,0.625324114,0.231411229,Jimmy Carter
Carter,Jimmy,2,41814,1977,12,0.034453058,0.58116655,0.318057829,0.134110787,0.479545455,0.656995231,0.23229959,Jimmy Carter
Carter,Jimmy,2,66448,1977,2,0.04503393,0.623233216,0.327947117,0.117148906,0.492118227,0.657524775,0.25764526,Jimmy Carter
Carter,Jimmy,2,55617,1977,3,0.05856833,0.594004065,0.317909169,0.144230769,0.485697259,0.626081939,0.241580602,Jimmy Carter
Carter,Jimmy,2,59963,1977,4,0.075077399,0.643178411,0.30703259,0.136282128,0.533379694,0.628688525,0.237712243,Jimmy Carter
Carter,Jimmy,2,87552,1977,5,0.061876248,0.581003705,0.333239674,0.152380952,0.493564137,0.65257032,0.255137992,Jimmy Carter
Carter,Jimmy,2,41560,1977,6,0.06031746,0.584341637,0.301310044,0.133616119,0.480033985,0.672948567,0.229915088,Jimmy Carter
Carter,Jimmy,2,38923,1977,7,0.087326944,0.557153127,0.329918033,0.163919414,0.462857143,0.625443262,0.241404011,Jimmy Carter
Carter,Jimmy,2,29701,1977,8,0.064697609,0.645299145,0.336235038,0.108661417,0.491446345,0.635634029,0.22886133,Jimmy Carter
Carter,Jimmy,2,46310,1977,9,0.064741907,0.529564652,0.306134969,0.16496945,0.430769231,0.62041116,0.223343849,Jimmy Carter
Carter,Jimmy,2,65268,1978,1,0.060292326,0.595209581,0.325632084,0.162383178,0.418719212,0.606695779,0.26883638,Jimmy Carter
Carter,Jimmy,2,75347,1978,10,0.069815195,0.55099553,0.360807114,0.169801182,0.431749242,0.62244898,0.266478675,Jimmy Carter
Carter,Jimmy,2,55074,1978,11,0.081568627,0.591586794,0.321461187,0.178352621,0.428867403,0.637620192,0.255411255,Jimmy Carter
Carter,Jimmy,2,45220,1978,12,0.098617512,0.619961612,0.319745897,0.149475524,0.477802859,0.647118644,0.256396298,Jimmy Carter
Carter,Jimmy,2,51395,1978,2,0.065833333,0.606659142,0.309486781,0.144239226,0.457805907,0.651728553,0.246920193,Jimmy Carter
Carter,Jimmy,2,62421,1978,3,0.075152336,0.594815825,0.345227859,0.13592233,0.458305537,0.623180445,0.265324385,Jimmy Carter
Carter,Jimmy,2,40250,1978,4,0.091782284,0.579960186,0.318983769,0.170117012,0.485680191,0.597840173,0.245474294,Jimmy Carter
Carter,Jimmy,2,73405,1978,5,0.07696726,0.582142857,0.327024981,0.159485171,0.472877358,0.631260191,0.251168224,Jimmy Carter
Carter,Jimmy,2,65864,1978,6,0.074311339,0.584048027,0.313821138,0.174397032,0.460422961,0.653366584,0.249894825,Jimmy Carter
Carter,Jimmy,2,36817,1978,7,0.071161049,0.58270361,0.323067633,0.161904762,0.459302326,0.637795276,0.255799373,Jimmy Carter
Carter,Jimmy,2,27531,1978,8,0.060992908,0.529475983,0.304648863,0.221448468,0.423753666,0.584321476,0.271309771,Jimmy Carter
Carter,Jimmy,2,55053,1978,9,0.072463768,0.564889919,0.352080476,0.171428571,0.435431538,0.645248869,0.274216867,Jimmy Carter
Carter,Jimmy,2,46278,1979,1,0.075490196,0.615646259,0.330790569,0.167464115,0.397326853,0.608695652,0.312195122,Jimmy Carter
Carter,Jimmy,2,66306,1979,10,0.074380165,0.545537341,0.311501597,0.157984145,0.47361809,0.62151602,0.25984252,Jimmy Carter
Carter,Jimmy,2,21510,1979,11,0.091653028,0.535760728,0.350631136,0.164725458,0.420924574,0.600300526,0.307805596,Jimmy Carter
Carter,Jimmy,2,18781,1979,12,0.085393258,0.54965035,0.343930636,0.184339315,0.320754717,0.600187266,0.304606241,Jimmy Carter
Carter,Jimmy,2,46654,1979,2,0.046848382,0.572372769,0.321507761,0.158886159,0.463722397,0.642348754,0.253186559,Jimmy Carter
Carter,Jimmy,2,49231,1979,3,0.062333037,0.58924612,0.353269983,0.147644928,0.406148867,0.600676819,0.259671747,Jimmy Carter
Carter,Jimmy,2,45632,1979,4,0.084263959,0.637830859,0.334285714,0.129464286,0.483146067,0.624595469,0.247374562,Jimmy Carter
Carter,Jimmy,2,58613,1979,5,0.073018081,0.581066946,0.32221163,0.143079316,0.428281461,0.623063683,0.2382134,Jimmy Carter
Carter,Jimmy,2,40158,1979,6,0.072008114,0.542329726,0.327258922,0.201528176,0.385286783,0.60125,0.28228925,Jimmy Carter
Carter,Jimmy,2,24377,1979,7,0.046367852,0.563636364,0.366850829,0.186700767,0.4086629,0.574235808,0.314220183,Jimmy Carter
Carter,Jimmy,2,47089,1979,8,0.065302144,0.526388889,0.339558574,0.174496644,0.449427481,0.61470388,0.278296383,Jimmy Carter
Carter,Jimmy,2,54242,1979,9,0.075307748,0.571949948,0.330757342,0.150344828,0.446738233,0.593447008,0.266202464,Jimmy Carter
Carter,Jimmy,2,74984,1980,1,0.073394495,0.669124424,0.319843342,0.142015005,0.39231327,0.612183846,0.286284953,Jimmy Carter
Carter,Jimmy,2,306890,1980,10,0.088001895,0.562052877,0.338006095,0.152261098,0.425412196,0.617803072,0.265691707,Jimmy Carter
Carter,Jimmy,2,46722,1980,11,0.059950556,0.489768977,0.361604585,0.200211864,0.391871166,0.594615093,0.236857649,Jimmy Carter
Carter,Jimmy,2,17089,1980,12,0.048076923,0.478504673,0.345388788,0.129973475,0.358695652,0.579381443,0.181988743,Jimmy Carter
Carter,Jimmy,2,36269,1980,2,0.093886463,0.533690658,0.35347432,0.170731707,0.452254642,0.635048915,0.285046729,Jimmy Carter
Carter,Jimmy,2,44277,1980,3,0.071570577,0.543520309,0.324592075,0.159018143,0.438167939,0.61186878,0.253301321,Jimmy Carter
