lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Disraeli,Benjamin,200,78598,1875,0.494600432,0.213822894,0.259676539,0.505399568,0.367170626,0.576673866,0.049676026,0.120950324,0.17062635,0.019438445,0.062634989,0.377967133,0.172854534,0.141157177,0.219848053,0.968966869,Benjamin Disraeli
Disraeli,Benjamin,200,85142,1876,0.50877193,0.215724496,0.23010385,0.49122807,0.506822612,0.553606238,0.044834308,0.155945419,0.124756335,0.023391813,0.097465887,0.367149758,0.163647343,0.13352412,0.236514523,0.968419607,Benjamin Disraeli
Douglas-Home,Alec,200,24313,1963,0.6375,0.254166667,0.3386875,0.3625,0.4375,0.64375,0.04375,0.13125,0.0875,0.00625,0.0875,0.408207343,0.177105832,0.161457114,0.25682183,0.958534289,Alec Douglas-Home
Douglas-Home,Alec,200,61537,1964,0.641860465,0.312403101,0.265085992,0.358139535,0.576744186,0.572093023,0.034883721,0.213953488,0.086046512,0.018604651,0.074418605,0.478655767,0.231607629,0.172157093,0.280862182,0.951647583,Alec Douglas-Home
Eden,Anthony,200,63307,1955,0.631236443,0.28054953,0.313351622,0.368763557,0.455531453,0.620390456,0.034707158,0.160520607,0.106290672,0.010845987,0.067245119,0.543156059,0.272595176,0.196040161,0.286691542,0.943796944,Anthony Eden
Eden,Anthony,200,94970,1956,0.595567867,0.252539243,0.283527597,0.404432133,0.501385042,0.59833795,0.040166205,0.159279778,0.096952909,0.013850416,0.091412742,0.427792916,0.180744777,0.163108851,0.282362143,0.953944235,Anthony Eden
George,David,200,10714,1916,0.442622951,0.218579235,0.162160709,0.557377049,0.950819672,0.393442623,0.016393443,0.31147541,0.06557377,0,0.213114754,0.245762712,0.105932203,0.09112324,0.205387205,0.981284452,David George
George,David,200,40017,1917,0.443946188,0.162929746,0.206724447,0.556053812,0.466367713,0.538116592,0.062780269,0.121076233,0.130044843,0.035874439,0.112107623,0.204938272,0.052263374,0.096314586,0.215876089,0.979207984,David George
George,David,200,64083,1918,0.508532423,0.180887372,0.223967664,0.491467577,0.505119454,0.552901024,0.081911263,0.119453925,0.092150171,0.020477816,0.133105802,0.219827586,0.062978927,0.111828676,0.17388724,0.98055442,David George
George,David,200,85912,1919,0.612765957,0.253191489,0.289843368,0.387234043,0.540425532,0.60212766,0.038297872,0.165957447,0.074468085,0.014893617,0.104255319,0.255449972,0.091298677,0.107700028,0.208056662,0.977592292,David George
George,David,200,125082,1920,0.59025788,0.245463228,0.28511917,0.40974212,0.518624642,0.598853868,0.035816619,0.160458453,0.093123209,0.012893983,0.098853868,0.351206434,0.162772884,0.112884607,0.210939861,0.976188137,David George
George,David,200,54995,1921,0.581920904,0.263653484,0.249525998,0.418079096,0.519774011,0.56779661,0.050847458,0.172316384,0.110169492,0.011299435,0.087570621,0.376884422,0.162479062,0.126915987,0.228682171,0.970976577,David George
George,David,200,80531,1922,0.591397849,0.263799283,0.24579674,0.408602151,0.537634409,0.565591398,0.055913978,0.174193548,0.094623656,0.015053763,0.094623656,0.380298507,0.172736318,0.135543203,0.21728972,0.970547855,David George
Gladstone,William,200,21295,1835,0.38,0.146666667,0.25528,0.62,0.36,0.56,0.03,0.1,0.22,0.01,0.08,0.299180328,0.146174863,0.106822763,0.170068027,0.981832863,William Gladstone
Gladstone,William,200,16072,1836,0.794117647,0.343137255,0.502249135,0.205882353,0.264705882,0.75,0.029411765,0.117647059,0.088235294,0,0.014705882,0.310160428,0.113190731,0.134719323,0.153846154,0.97927395,William Gladstone
Gladstone,William,200,20418,1837,0.450549451,0.21978022,0.228788794,0.549450549,0.417582418,0.538461538,0.032967033,0.153846154,0.197802198,0.021978022,0.054945055,0.328888889,0.114814815,0.153339259,0.168207024,0.97420726,William Gladstone
Gladstone,William,200,6262,1838,0.375,0.09375,0.25,0.625,0.5,0.5625,0.03125,0.09375,0.15625,0,0.15625,0.32231405,0.137741047,0.162516222,0.209150327,0.966009679,William Gladstone
