lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Castro,Fidel,40,7041,1976,2,0.12,0.026666667,0.10528,0.88,0.8,0.24,0,0.32,0.04,0.12,0.28,-0.164556962,-0.195499297,0.12992576,0.095419847,0.987602504,Fidel Castro
Castro,Fidel,40,10025,1976,3,0.5625,0.34375,0.090625,0.4375,0.5,0.375,0.1875,0.21875,0.09375,0.09375,0.03125,0.244274809,0.125954198,0.069389896,0.108843537,0.992447358,Fidel Castro
Castro,Fidel,40,12687,1976,4,0.083333333,0.048611111,0.107291667,0.916666667,0.75,0.333333333,0,0.208333333,0.270833333,0.020833333,0.166666667,0.190031153,0.059190031,0.09802894,0.130081301,0.987248268,Fidel Castro
Castro,Fidel,40,4258,1977,1,0.285714286,0.023809524,0.363265306,0.714285714,0.142857143,0.642857143,0,0,0.214285714,0.071428571,0.071428571,0.147826087,0.060869565,0.071032136,0.108527132,0.992291086,Fidel Castro
Castro,Fidel,40,20878,1977,2,0.46031746,0.195767196,0.219349962,0.53968254,0.53968254,0.53968254,0.015873016,0.174603175,0.126984127,0.047619048,0.095238095,0.330628803,0.103448276,0.148389008,0.113309353,0.983186138,Fidel Castro
Castro,Fidel,40,36867,1977,3,0.543859649,0.269005848,0.187852673,0.456140351,0.467836257,0.514619883,0.087719298,0.169590643,0.128654971,0.035087719,0.064327485,0.526248399,0.333760137,0.13395381,0.179621849,0.975938969,Fidel Castro
Castro,Fidel,40,20440,1977,4,0.423728814,0.254237288,0.087158862,0.576271186,0.542372881,0.372881356,0.152542373,0.186440678,0.186440678,0.016949153,0.084745763,0.218181818,0.070909091,0.098750413,0.176646707,0.982556065,Fidel Castro
Castro,Fidel,40,22781,1978,1,0.417721519,0.164556962,0.162057363,0.582278481,0.632911392,0.481012658,0.063291139,0.164556962,0.126582278,0.012658228,0.151898734,0.217656012,0.052765094,0.110799747,0.107336957,0.988107092,Fidel Castro
Castro,Fidel,40,10358,1978,2,0.419354839,0.204301075,0.163371488,0.580645161,0.387096774,0.483870968,0.096774194,0.129032258,0.193548387,0.032258065,0.064516129,-0.16,-0.212222222,0.123466667,0.093655589,0.988436657,Fidel Castro
Castro,Fidel,40,19842,1978,3,0.516483516,0.238095238,0.21371815,0.483516484,0.461538462,0.538461538,0.065934066,0.153846154,0.142857143,0.021978022,0.076923077,0.491773309,0.263254113,0.145434796,0.142633229,0.979256165,Fidel Castro
Castro,Fidel,40,22350,1978,4,0.487804878,0.199186992,0.200654372,0.512195122,0.585365854,0.524390244,0.054878049,0.164634146,0.109756098,0.018292683,0.12804878,0.52854512,0.322897483,0.150721895,0.231966054,0.965037637,Fidel Castro
Castro,Fidel,40,16579,1979,1,0.247524752,0.085808581,0.167375747,0.752475248,0.455445545,0.475247525,0.02970297,0.118811881,0.227722772,0.03960396,0.108910891,0.193396226,0.055031447,0.083165717,0.192380952,0.9840005,Fidel Castro
