lastname,firstname,Ccode,Word Count,year,month,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Asquith,Herbert,200,23881,1912,3,0.547619048,0.228174603,0.298384354,0.452380952,0.452380952,0.607142857,0.023809524,0.142857143,0.136904762,0.005952381,0.083333333,0.567226891,0.263305322,0.208625803,0.260869565,0.945575877,Herbert Asquith
Asquith,Herbert,200,7036,1912,4,0.548387097,0.344086022,0.163371488,0.451612903,0.967741935,0.387096774,0.032258065,0.35483871,0.096774194,0,0.129032258,0.4,0.184848485,0.089586777,0.219858156,0.980303616,Herbert Asquith
Asquith,Herbert,200,13730,1912,5,0.6,0.266666667,0.30752,0.4,0.48,0.613333333,0.013333333,0.173333333,0.106666667,0.026666667,0.066666667,0.538461538,0.243589744,0.222840237,0.223880597,0.950110395,Herbert Asquith
Asquith,Herbert,200,11500,1912,6,0.623188406,0.231884058,0.387523629,0.376811594,0.260869565,0.68115942,0.057971014,0.072463768,0.115942029,0.014492754,0.057971014,0.336363636,0.089393939,0.151272727,0.238754325,0.963882982,Herbert Asquith
Asquith,Herbert,200,10411,1912,7,0.571428571,0.257142857,0.249142857,0.428571429,0.628571429,0.557142857,0.028571429,0.2,0.1,0,0.114285714,0.541401274,0.297239915,0.194287801,0.308370044,0.940087462,Herbert Asquith
Asquith,Herbert,200,21200,1913,1,0.595375723,0.292870906,0.208767416,0.404624277,0.589595376,0.526011561,0.063583815,0.208092486,0.092485549,0.023121387,0.086705202,0.322352941,0.158431373,0.124745744,0.289297659,0.963911348,Herbert Asquith
Asquith,Herbert,200,8003,1913,2,0.72,0.293333333,0.52288,0.28,0.24,0.76,0,0.1,0.12,0,0.02,0.537414966,0.335600907,0.16323754,0.253807107,0.958569152,Herbert Asquith
Asquith,Herbert,200,21872,1913,3,0.541984733,0.211195929,0.309970281,0.458015267,0.458015267,0.618320611,0.015267176,0.13740458,0.122137405,0.015267176,0.091603053,0.435406699,0.1738437,0.192765733,0.238615665,0.954003076,Herbert Asquith
Asquith,Herbert,200,4958,1913,4,0.575757576,0.202020202,0.468870523,0.424242424,0.181818182,0.727272727,0,0.060606061,0.151515152,0.03030303,0.03030303,0.590909091,0.321969697,0.178409091,0.272727273,0.951342975,Herbert Asquith
Asquith,Herbert,200,7170,1913,5,0.574468085,0.262411348,0.202535084,0.425531915,0.510638298,0.531914894,0.085106383,0.170212766,0.085106383,0.042553191,0.085106383,0.430894309,0.224932249,0.190799128,0.276470588,0.947249653,Herbert Asquith
Asquith,Herbert,200,25374,1913,6,0.565789474,0.228070175,0.279397507,0.434210526,0.552631579,0.592105263,0.026315789,0.164473684,0.092105263,0.013157895,0.111842105,0.333333333,0.146431199,0.141534728,0.251239669,0.964440862,Herbert Asquith
Asquith,Herbert,200,16053,1913,7,0.68852459,0.297814208,0.353883365,0.31147541,0.37704918,0.655737705,0.049180328,0.139344262,0.081967213,0.024590164,0.049180328,0.473684211,0.226817043,0.16398892,0.31443299,0.948436474,Herbert Asquith
Asquith,Herbert,200,15582,1914,11,0.509090909,0.187878788,0.310743802,0.490909091,0.381818182,0.618181818,0.036363636,0.1,0.154545455,0,0.090909091,0.435897436,0.166666667,0.169329389,0.260663507,0.955862008,Herbert Asquith
Asquith,Herbert,200,10184,1914,2,0.573333333,0.222222222,0.292586667,0.426666667,0.373333333,0.613333333,0.066666667,0.106666667,0.106666667,0.026666667,0.08,0.440414508,0.19343696,0.166066203,0.279850746,0.953526249,Herbert Asquith
Asquith,Herbert,200,9794,1914,3,0.509433962,0.264150943,0.191740833,0.490566038,0.452830189,0.509433962,0.075471698,0.169811321,0.169811321,0.018867925,0.056603774,0.432989691,0.20790378,0.164183229,0.214574899,0.9647704,Herbert Asquith
Asquith,Herbert,200,21074,1914,4,0.608695652,0.326086957,0.179206049,0.391304348,0.579710145,0.492753623,0.079710145,0.231884058,0.079710145,0.057971014,0.057971014,0.48463357,0.237982664,0.181731301,0.245989305,0.955296044,Herbert Asquith
Asquith,Herbert,200,11166,1914,5,0.659090909,0.287878788,0.322830579,0.340909091,0.522727273,0.625,0.022727273,0.181818182,0.068181818,0.022727273,0.079545455,0.502392344,0.256778309,0.183205513,0.296296296,0.945716885,Herbert Asquith
Asquith,Herbert,200,17746,1914,7,0.487603306,0.220385675,0.220545045,0.512396694,0.446280992,0.545454545,0.041322314,0.157024793,0.140495868,0.049586777,0.066115702,0.485943775,0.195448461,0.178864857,0.327027027,0.941506358,Herbert Asquith
Asquith,Herbert,200,8469,1914,8,0.661971831,0.272300469,0.329180718,0.338028169,0.647887324,0.61971831,0.014084507,0.197183099,0.042253521,0,0.126760563,0.497435897,0.215384615,0.174059172,0.266917293,0.953540597,Herbert Asquith
Asquith,Herbert,200,9853,1914,9,0.619047619,0.211640212,0.386243386,0.380952381,0.349206349,0.682539683,0.031746032,0.095238095,0.063492063,0.047619048,0.079365079,0.523255814,0.261627907,0.163845322,0.268085106,0.956075509,Herbert Asquith
Asquith,Herbert,200,5978,1915,12,0.574468085,0.269503546,0.268809416,0.425531915,0.553191489,0.574468085,0.021276596,0.191489362,0.127659574,0,0.085106383,0.386138614,0.115511551,0.196314087,0.317567568,0.937657013,Herbert Asquith
Asquith,Herbert,200,13792,1915,2,0.264367816,0.111111111,0.103606817,0.735632184,0.735632184,0.390804598,0.045977011,0.195402299,0.172413793,0.022988506,0.172413793,0.427350427,0.198005698,0.148016656,0.271028037,0.959883336,Herbert Asquith
Asquith,Herbert,200,12116,1915,3,0.612903226,0.306451613,0.202705515,0.387096774,0.612903226,0.516129032,0.080645161,0.209677419,0.096774194,0,0.096774194,0.41322314,0.210743802,0.130592173,0.203947368,0.97336607,Herbert Asquith
Asquith,Herbert,200,8039,1915,5,0.727272727,0.303030303,0.50661157,0.272727273,0.272727273,0.75,0,0.113636364,0.113636364,0,0.022727273,0.359116022,0.130755064,0.149476512,0.195555556,0.970769038,Herbert Asquith
Asquith,Herbert,200,10935,1915,6,0.633802817,0.253521127,0.294901805,0.366197183,0.563380282,0.605633803,0.042253521,0.169014085,0.042253521,0.028169014,0.112676056,0.626794258,0.344497608,0.200622696,0.253571429,0.949127816,Herbert Asquith
Asquith,Herbert,200,15015,1915,7,0.640449438,0.258426966,0.342204267,0.359550562,0.516853933,0.640449438,0.02247191,0.157303371,0.078651685,0,0.101123596,0.380597015,0.145522388,0.144241479,0.24929972,0.96404064,Herbert Asquith
Asquith,Herbert,200,7817,1915,9,0.490909091,0.139393939,0.30261157,0.509090909,0.4,0.618181818,0.054545455,0.072727273,0.109090909,0.018181818,0.127272727,0.378378378,0.132882883,0.170672023,0.270935961,0.953758811,Herbert Asquith
Asquith,Herbert,200,9415,1916,1,0.685714286,0.319047619,0.311346939,0.314285714,0.514285714,0.614285714,0.042857143,0.185714286,0.085714286,0,0.071428571,0.507246377,0.272141707,0.170146328,0.252707581,0.957002733,Herbert Asquith
Asquith,Herbert,200,8075,1916,10,0.72,0.42,0.24736,0.28,0.8,0.5,0.02,0.34,0.04,0.04,0.06,0.298013245,0.125827815,0.106986536,0.248756219,0.973386434,Herbert Asquith
Asquith,Herbert,200,5310,1916,11,0.435897436,0.11965812,0.228402367,0.564102564,0.358974359,0.564102564,0.076923077,0.076923077,0.076923077,0.102564103,0.102564103,0.545454545,0.284090909,0.170661157,0.307086614,0.947592243,Herbert Asquith
Asquith,Herbert,200,13150,1916,2,0.550561798,0.258426966,0.205554854,0.449438202,0.561797753,0.528089888,0.056179775,0.191011236,0.101123596,0.033707865,0.08988764,0.352459016,0.131147541,0.159782317,0.267267267,0.957295417,Herbert Asquith
Asquith,Herbert,200,21977,1916,5,0.634146341,0.258130081,0.317638311,0.365853659,0.548780488,0.62195122,0.024390244,0.170731707,0.06097561,0.018292683,0.103658537,0.354120267,0.123236823,0.14786137,0.267536705,0.960441656,Herbert Asquith
Asquith,Herbert,200,6018,1916,6,0.777777778,0.361111111,0.422222222,0.222222222,0.388888889,0.694444444,0.027777778,0.166666667,0.083333333,0,0.027777778,0.623931624,0.364672365,0.158448389,0.235294118,0.962718026,Herbert Asquith
Asquith,Herbert,200,32393,1916,7,0.747572816,0.28802589,0.466113677,0.252427184,0.300970874,0.733009709,0.04368932,0.097087379,0.058252427,0.014563107,0.053398058,0.426666667,0.191666667,0.146213333,0.255583127,0.962630339,Herbert Asquith
Asquith,Herbert,200,20212,1916,8,0.661971831,0.288732394,0.32953779,0.338028169,0.464788732,0.633802817,0.028169014,0.169014085,0.070422535,0.035211268,0.063380282,0.485411141,0.228116711,0.147034032,0.273603083,0.959771035,Herbert Asquith
Attlee,Clement,200,10450,1945,10,0.45,0.283333333,0.1645,0.55,0.9,0.4,0,0.325,0.15,0,0.125,0.4,0.216666667,0.092413223,0.153846154,0.985782581,Clement Attlee
Attlee,Clement,200,4941,1945,11,0.533333333,0.255555556,0.261333333,0.466666667,0.533333333,0.566666667,0,0.2,0.133333333,0.033333333,0.066666667,0.027777778,-0.050925926,0.105555556,0.294117647,0.968954248,Clement Attlee
Attlee,Clement,200,11511,1945,12,0.657142857,0.238095238,0.394612245,0.342857143,0.342857143,0.685714286,0.057142857,0.085714286,0.085714286,0,0.085714286,0.456221198,0.235023041,0.152413515,0.138888889,0.978831456,Clement Attlee
Attlee,Clement,200,15829,1945,8,0.632183908,0.295019157,0.323028141,0.367816092,0.482758621,0.620689655,0.011494253,0.183908046,0.114942529,0.011494253,0.057471264,0.461538462,0.246548323,0.134694163,0.204705882,0.972427312,Clement Attlee
Attlee,Clement,200,18505,1946,10,0.752808989,0.348314607,0.37371544,0.247191011,0.426966292,0.662921348,0.04494382,0.168539326,0.078651685,0,0.04494382,0.467700258,0.25667528,0.135997436,0.18697479,0.974571908,Clement Attlee
Attlee,Clement,200,21895,1946,11,0.555555556,0.244008715,0.315852877,0.444444444,0.45751634,0.614379085,0.006535948,0.156862745,0.150326797,0,0.071895425,0.296551724,0.154022989,0.1144891,0.260204082,0.970209469,Clement Attlee
Attlee,Clement,200,7246,1946,12,0.875,0.354166667,0.56640625,0.125,0.4375,0.78125,0,0.15625,0,0,0.0625,0.372093023,0.215116279,0.127663602,0.156862745,0.979974337,Clement Attlee
Attlee,Clement,200,10712,1946,2,0.452054795,0.196347032,0.273109401,0.547945205,0.301369863,0.575342466,0.054794521,0.095890411,0.219178082,0,0.054794521,0.287128713,0.151815182,0.08738359,0.265454545,0.976803629,Clement Attlee
Attlee,Clement,200,9721,1946,3,0.661538462,0.287179487,0.301869822,0.338461538,0.461538462,0.615384615,0.061538462,0.153846154,0.076923077,0.015384615,0.076923077,0.345679012,0.164609053,0.110105167,0.286343612,0.968472089,Clement Attlee
Attlee,Clement,200,10139,1946,4,0.543859649,0.269005848,0.188919668,0.456140351,0.561403509,0.50877193,0.070175439,0.192982456,0.122807018,0.01754386,0.087719298,0.408866995,0.256157635,0.131354801,0.219230769,0.971202986,Clement Attlee
Attlee,Clement,200,4052,1946,6,0.384615385,0.217948718,0.172781065,0.615384615,0.538461538,0.461538462,0.038461538,0.192307692,0.230769231,0,0.076923077,0.259259259,0.0781893,0.118061271,0.242990654,0.971312214,Clement Attlee
Attlee,Clement,200,4393,1947,1,0.8,0.416666667,0.316,0.2,0.6,0.6,0.05,0.25,0.05,0,0.05,0.710526316,0.429824561,0.181855956,0.208333333,0.962113343,Clement Attlee
Attlee,Clement,200,9316,1947,10,0.545454545,0.227272727,0.333884298,0.454545455,0.242424242,0.636363636,0.045454545,0.090909091,0.166666667,0.03030303,0.03030303,0.333333333,0.103448276,0.162504954,0.275,0.955311138,Clement Attlee
Attlee,Clement,200,8568,1947,11,0.414634146,0.227642276,0.123378941,0.585365854,0.682926829,0.414634146,0.073170732,0.219512195,0.170731707,0,0.12195122,0.389830508,0.252354049,0.123546874,0.188073394,0.97676412,Clement Attlee
Attlee,Clement,200,11893,1947,2,0.391304348,0.144927536,0.174291115,0.608695652,0.52173913,0.5,0.065217391,0.130434783,0.152173913,0.02173913,0.130434783,0.456521739,0.233091787,0.138059231,0.142857143,0.980277253,Clement Attlee
Attlee,Clement,200,15380,1947,3,0.515789474,0.224561404,0.267368421,0.484210526,0.484210526,0.578947368,0.021052632,0.157894737,0.147368421,0.010526316,0.084210526,0.435714286,0.216666667,0.145520408,0.253333333,0.96313483,Clement Attlee
Attlee,Clement,200,6187,1947,6,0.846153846,0.333333333,0.673372781,0.153846154,0.153846154,0.846153846,0,0.076923077,0.076923077,0,0,0.487179487,0.168091168,0.211220688,0.1,0.978877931,Clement Attlee
Attlee,Clement,200,14552,1947,7,0.797101449,0.352657005,0.511531191,0.202898551,0.260869565,0.753623188,0.014492754,0.130434783,0.086956522,0.014492754,0,0.465116279,0.259689922,0.149125654,0.211009174,0.968533119,Clement Attlee
Attlee,Clement,200,12529,1947,8,0.623529412,0.266666667,0.315377163,0.376470588,0.470588235,0.623529412,0.023529412,0.164705882,0.082352941,0.035294118,0.070588235,0.487804878,0.269647696,0.119968273,0.256797583,0.969192437,Clement Attlee
Attlee,Clement,200,4159,1948,1,0.444444444,0.148148148,0.311111111,0.555555556,0.444444444,0.611111111,0,0.111111111,0.166666667,0,0.111111111,0.340425532,0.095744681,0.168039837,0.160714286,0.972993598,Clement Attlee
Attlee,Clement,200,5340,1948,10,0.642857143,0.285714286,0.292857143,0.357142857,0.428571429,0.607142857,0.071428571,0.142857143,0.107142857,0,0.071428571,0.495327103,0.199376947,0.177849594,0.207407407,0.963112677,Clement Attlee
Attlee,Clement,200,7694,1948,2,0.5625,0.270833333,0.21484375,0.4375,0.5625,0.53125,0.0625,0.1875,0.125,0,0.09375,0.480519481,0.242424242,0.167954124,0.172043011,0.971104667,Clement Attlee
Attlee,Clement,200,9292,1948,3,0.612903226,0.344086022,0.207075963,0.387096774,0.483870968,0.516129032,0.080645161,0.209677419,0.14516129,0.016129032,0.032258065,0.341935484,0.187096774,0.127408949,0.285714286,0.963597443,Clement Attlee
Attlee,Clement,200,4865,1948,6,0.833333333,0.25,0.729166667,0.166666667,0.25,0.875,0,0.041666667,0,0,0.083333333,0.346938776,0.129251701,0.141857559,0.196721311,0.972093595,Clement Attlee
Attlee,Clement,200,7570,1949,10,0.333333333,0.131313131,0.169146006,0.666666667,0.545454545,0.484848485,0.03030303,0.151515152,0.181818182,0.03030303,0.121212121,0.313432836,0.151741294,0.069325017,0.19760479,0.986301045,Clement Attlee
Attlee,Clement,200,4415,1949,2,1,0.58974359,0.431952663,0,0.769230769,0.615384615,0,0.384615385,0,0,0,0.448275862,0.187739464,0.167023385,0.13,0.97828696,Clement Attlee
Attlee,Clement,200,4961,1949,3,0.314285714,0.161904762,0.137959184,0.685714286,0.571428571,0.428571429,0.057142857,0.171428571,0.228571429,0,0.114285714,0.342105263,0.219298246,0.136980609,0.315315315,0.956807916,Clement Attlee
Attlee,Clement,200,6627,1949,4,0.428571429,0.142857143,0.210884354,0.571428571,0.952380952,0.476190476,0,0.238095238,0.047619048,0,0.238095238,0.028571429,-0.1,0.119836735,0.130434783,0.984369122,Clement Attlee
Attlee,Clement,200,4196,1949,5,0.578947368,0.263157895,0.28199446,0.421052632,0.631578947,0.578947368,0,0.210526316,0.105263158,0,0.105263158,0.323529412,0.181372549,0.128546713,0.218390805,0.97192658,Clement Attlee
Attlee,Clement,200,5893,1949,7,0.428571429,0.142857143,0.167346939,0.571428571,0.5,0.5,0.107142857,0.107142857,0.107142857,0.035714286,0.142857143,0.106796117,-0.110032362,0.196682062,0.213740458,0.957961086,Clement Attlee
Attlee,Clement,200,7934,1950,10,0.590909091,0.196969697,0.349173554,0.409090909,0.636363636,0.636363636,0,0.159090909,0.045454545,0,0.159090909,0.476923077,0.266666667,0.140970414,0.252873563,0.964352309,Clement Attlee
Attlee,Clement,200,4321,1950,11,0.548387097,0.279569892,0.333194589,0.451612903,0.258064516,0.612903226,0.032258065,0.129032258,0.225806452,0,0,0.617647059,0.338235294,0.200692042,0.313131313,0.937157038,Clement Attlee
Attlee,Clement,200,6489,1950,12,0.68,0.346666667,0.30112,0.32,0.48,0.6,0.04,0.2,0.12,0,0.04,0.338235294,0.159313725,0.113624567,0.268817204,0.969455761,Clement Attlee
Attlee,Clement,200,12320,1950,3,0.526315789,0.219298246,0.297783934,0.473684211,0.447368421,0.605263158,0.013157895,0.144736842,0.144736842,0.013157895,0.078947368,0.433628319,0.228613569,0.132069857,0.251655629,0.966763877,Clement Attlee
Attlee,Clement,200,10759,1950,6,0.714285714,0.253968254,0.560544218,0.285714286,0.238095238,0.785714286,0,0.071428571,0.095238095,0,0.047619048,0.390134529,0.159940209,0.173472219,0.158490566,0.97250629,Clement Attlee
Attlee,Clement,200,15135,1950,7,0.823529412,0.362745098,0.453460208,0.176470588,0.323529412,0.720588235,0.058823529,0.132352941,0.058823529,0,0.029411765,0.39047619,0.157671958,0.136532124,0.177545692,0.97575931,Clement Attlee
Attlee,Clement,200,9736,1950,9,0.419354839,0.204301075,0.157752341,0.580645161,0.741935484,0.451612903,0.032258065,0.225806452,0.14516129,0,0.14516129,0.460526316,0.243421053,0.1341759,0.289719626,0.961126608,Clement Attlee
Attlee,Clement,200,4682,1951,1,0.555555556,0.203703704,0.244444444,0.444444444,0.666666667,0.555555556,0.055555556,0.166666667,0.055555556,0,0.166666667,0.505154639,0.240549828,0.159017962,0.270676692,0.956957544,Clement Attlee
Attlee,Clement,200,11467,1951,2,0.68,0.284444444,0.387733333,0.32,0.293333333,0.68,0.053333333,0.106666667,0.106666667,0.013333333,0.04,0.386666667,0.183703704,0.092859259,0.25,0.976785185,Clement Attlee
Attlee,Clement,200,4026,1951,6,0.692307692,0.371794872,0.226035503,0.307692308,0.461538462,0.538461538,0.115384615,0.192307692,0.115384615,0,0.038461538,0.242424242,0.075757576,0.114049587,0.282608696,0.967768595,Clement Attlee
Attlee,Clement,200,5392,1951,7,0.8125,0.354166667,0.51015625,0.1875,0.375,0.75,0,0.15625,0.0625,0,0.03125,0.225,0.091666667,0.103375,0.285714286,0.970464286,Clement Attlee
Baldwin,Stanley,200,15984,1923,7,0.548387097,0.247311828,0.270482137,0.451612903,0.623655914,0.569892473,0,0.204301075,0.11827957,0,0.107526882,0.436619718,0.224178404,0.126125769,0.24668435,0.968886747,Stanley Baldwin
Baldwin,Stanley,200,7256,1924,1,0.547169811,0.251572327,0.281452474,0.452830189,0.528301887,0.58490566,0,0.188679245,0.132075472,0.018867925,0.075471698,0.527559055,0.249343832,0.205555211,0.294444444,0.93947541,Stanley Baldwin
Baldwin,Stanley,200,5454,1925,11,0.818181818,0.462121212,0.321900826,0.181818182,0.863636364,0.545454545,0,0.363636364,0,0.022727273,0.068181818,0.548387097,0.283154122,0.203052376,0.321167883,0.934786098,Stanley Baldwin
Baldwin,Stanley,200,17338,1925,12,0.620689655,0.284482759,0.240725327,0.379310345,0.637931034,0.551724138,0.051724138,0.206896552,0.068965517,0.00862069,0.112068966,0.464480874,0.252276867,0.140768611,0.2406639,0.966122077,Stanley Baldwin
Baldwin,Stanley,200,11793,1925,3,0.423728814,0.101694915,0.259523126,0.576271186,0.542372881,0.576271186,0.033898305,0.101694915,0.101694915,0.016949153,0.169491525,0.297560976,0.069918699,0.138798334,0.223484848,0.968980675,Stanley Baldwin
Baldwin,Stanley,200,10252,1925,6,0.552238806,0.223880597,0.262731121,0.447761194,0.47761194,0.582089552,0.059701493,0.134328358,0.119402985,0,0.104477612,0.486486486,0.209459459,0.164207451,0.311627907,0.948828376,Stanley Baldwin
Baldwin,Stanley,200,4143,1925,7,0.771428571,0.295238095,0.496489796,0.228571429,0.457142857,0.742857143,0,0.142857143,0.028571429,0,0.085714286,0.567567568,0.256756757,0.250109569,0.321100917,0.919689588,Stanley Baldwin
